"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,142.569,297.104,137.0,291.0,150.0,303.0,144,144.0,14.856,12.563,0.922,43.556,0.954,1.0,0.0,1.0,0.759,0.764,0.792,0.031,0.768,0.817,0.021,0.019,0.083,0.019
2.0,153.446,238.484,145.0,232.0,161.0,244.0,157,157.0,17.977,11.264,-0.503,47.213,0.885,1.0,0.0,1.0,0.846,0.848,0.878,0.132,0.875,0.906,0.043,0.042,0.054,0.026
3.0,153.451,280.803,146.0,276.0,161.0,286.0,122,122.0,16.501,9.563,0.423,41.213,0.903,1.0,0.0,1.0,0.756,0.766,0.785,0.022,0.772,0.824,0.036,0.031,0.077,0.024
4.0,178.899,353.741,152.0,342.0,210.0,366.0,951,1010.0,58.566,21.387,-0.04,143.154,0.583,1.062,0.0,0.996,0.716,0.722,0.741,0.111,0.738,0.778,0.047,0.05,0.093,0.025
6.0,170.241,222.224,166.0,218.0,174.0,227.0,58,58.0,10.558,7.059,-0.958,27.556,0.96,1.0,0.0,1.0,0.853,0.857,0.887,0.109,0.884,0.918,0.021,0.02,0.081,0.023
8.0,187.132,217.456,182.0,214.0,193.0,221.0,68,68.0,11.414,7.715,-0.342,30.142,0.941,1.0,0.0,1.0,0.749,0.754,0.783,0.026,0.742,0.797,0.039,0.037,0.067,0.027
10.0,206.742,205.309,200.0,198.0,215.0,213.0,178,183.0,16.667,14.151,0.667,51.799,0.834,1.028,0.0,1.0,0.767,0.782,0.807,0.031,0.766,0.837,0.027,0.025,0.067,0.021
11.0,214.191,240.933,208.0,231.0,219.0,252.0,194,196.0,21.916,11.516,-1.444,55.213,0.8,1.01,0.0,1.0,0.725,0.729,0.745,0.03,0.733,0.791,0.036,0.031,0.056,0.019
12.0,219.807,341.404,212.0,333.0,226.0,348.0,171,175.0,17.941,12.729,-0.942,49.799,0.866,1.023,0.0,1.0,0.711,0.72,0.743,0.145,0.709,0.762,0.036,0.038,0.138,0.033
13.0,226.216,215.667,223.0,212.0,231.0,219.0,51,51.0,9.048,7.367,-0.554,24.728,1.048,1.0,0.0,1.0,0.719,0.734,0.752,0.055,0.702,0.774,0.05,0.047,0.08,0.049
14.0,234.451,180.575,229.0,172.0,240.0,188.0,153,153.0,16.854,11.619,-1.413,45.213,0.941,1.0,0.0,0.993,0.743,0.748,0.778,0.022,0.739,0.811,0.049,0.039,0.068,0.022
16.0,236.333,221.833,234.0,217.0,239.0,227.0,54,54.0,11.134,6.137,1.516,25.899,1.012,1.0,0.0,1.0,0.714,0.722,0.742,0.052,0.7,0.763,0.051,0.043,0.106,0.048
17.0,265.968,134.204,260.0,127.0,271.0,142.0,157,159.0,17.874,11.499,1.32,46.728,0.904,1.013,0.0,1.0,0.818,0.822,0.84,0.04,0.861,0.885,0.031,0.028,0.02,0.016
