area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
465,224.0,266.0,248.0,295.0,235.0,279.0,513.0,1.0,31.45,19.75,-0.83,87.25,85.4,0.31,0.31,0.85,0.85
192,240.0,304.0,263.0,317.0,251.0,311.0,218.0,2.0,21.59,12.64,0.34,59.7,59.28,0.0,0.15,0.84,0.84
196,263.0,178.0,280.0,193.0,272.0,187.0,209.0,3.0,18.01,14.41,-0.58,52.87,52.81,0.28,0.38,0.88,0.88
243,267.0,136.0,289.0,149.0,279.0,142.0,256.0,4.0,24.16,13.17,0.3,62.28,61.73,0.74,0.53,0.94,0.93
1522,274.0,81.0,311.0,133.0,294.0,107.0,1570.0,5.0,55.16,35.73,-1.35,152.81,147.56,0.53,0.49,0.93,0.93
222,275.0,155.0,296.0,169.0,286.0,162.0,251.0,6.0,22.27,13.41,-0.22,61.21,60.72,0.1,0.32,0.89,0.89
6999,296.0,115.0,380.0,225.0,337.0,173.0,7331.0,7.0,115.22,78.33,-1.26,337.91,323.04,0.15,0.33,0.91,0.91
164,342.0,89.0,354.0,108.0,349.0,99.0,179.0,8.0,22.31,9.65,-1.15,53.8,53.69,0.2,0.32,0.93,0.92
215,357.0,92.0,372.0,118.0,364.0,104.0,238.0,9.0,30.14,9.72,-1.13,67.36,66.54,0.1,0.24,0.82,0.83
153,358.0,245.0,379.0,255.0,369.0,249.0,168.0,10.0,20.8,9.74,-0.05,52.04,52.02,0.0,0.12,0.84,0.85
588,369.0,195.0,386.0,239.0,378.0,217.0,614.0,11.0,45.04,16.78,-1.4,105.01,102.24,0.0,0.12,0.91,0.91
203,372.0,98.0,383.0,123.0,377.0,109.0,222.0,12.0,25.27,10.93,-1.35,63.38,63.17,0.0,0.19,0.88,0.87
