area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
152,8.0,340.0,19.0,355.0,14.0,347.0,159.0,1.0,15.94,12.2,1.46,44.38,44.76,0.05,0.13,0.67,0.74
135,17.0,277.0,30.0,288.0,24.0,283.0,144.0,3.0,14.93,11.78,0.25,42.73,43.19,0.27,0.34,0.82,0.86
85,20.0,56.0,30.0,65.0,25.0,60.0,91.0,6.0,11.35,9.64,0.11,32.73,33.71,0.05,0.45,0.97,0.97
538,31.0,375.0,57.0,399.0,44.0,386.0,557.0,9.0,29.37,23.86,-0.58,87.7,85.82,0.16,0.12,0.47,0.61
77,34.0,171.0,41.0,182.0,38.0,176.0,79.0,10.0,12.35,8.11,1.43,31.31,32.37,1.0,0.5,0.84,0.86
118,34.0,287.0,47.0,296.0,40.0,292.0,122.0,11.0,14.78,10.25,0.23,38.73,39.4,0.36,0.42,0.82,0.86
67,35.0,72.0,46.0,78.0,40.0,75.0,69.0,12.0,12.03,7.15,0.23,29.31,30.47,0.0,0.43,0.99,0.99
218,36.0,203.0,51.0,219.0,44.0,211.0,227.0,14.0,17.51,15.86,-1.52,52.63,52.58,0.18,0.33,0.79,0.83
385,42.0,174.0,62.0,199.0,52.0,187.0,403.0,15.0,26.82,18.46,-1.15,74.18,73.01,0.61,0.44,0.81,0.84
310,47.0,265.0,66.0,286.0,57.0,275.0,319.0,17.0,20.75,19.25,1.46,64.18,63.53,0.05,0.37,0.82,0.85
168,50.0,80.0,66.0,91.0,58.0,85.0,176.0,18.0,17.0,12.69,-0.16,47.56,47.77,0.02,0.4,0.91,0.93
60,53.0,230.0,62.0,237.0,58.0,233.0,64.0,19.0,10.06,7.6,0.13,26.73,28.02,0.33,0.4,0.78,0.82
147,58.0,157.0,71.0,170.0,65.0,164.0,154.0,21.0,15.52,12.34,-0.69,43.8,44.21,0.12,0.28,0.72,0.77
224,59.0,310.0,77.0,323.0,68.0,317.0,232.0,22.0,19.56,14.81,-0.11,54.97,54.8,0.12,0.35,0.83,0.86
62,60.0,357.0,72.0,363.0,66.0,360.0,70.0,23.0,13.18,6.19,0.21,30.69,32.37,0.0,0.06,0.64,0.71
118,63.0,97.0,74.0,111.0,69.0,104.0,127.0,24.0,16.05,9.68,-0.87,41.8,42.31,0.01,0.4,0.92,0.94
202,69.0,111.0,83.0,128.0,76.0,118.0,212.0,26.0,18.2,14.58,-1.42,52.63,52.58,0.1,0.42,0.92,0.93
59,71.0,276.0,79.0,283.0,75.0,279.0,61.0,27.0,9.33,8.04,0.33,25.9,27.24,0.0,0.32,0.79,0.82
93,77.0,241.0,89.0,250.0,83.0,245.0,102.0,28.0,13.22,9.0,0.28,35.56,36.39,0.0,0.3,0.81,0.85
534,78.0,39.0,100.0,67.0,90.0,53.0,548.0,30.0,29.78,23.52,-1.31,87.11,85.27,0.06,0.33,0.82,0.86
