"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,7.183,384.043,2.0,378.0,12.0,391.0,115,116.0,14.578,10.313,1.155,39.556,0.924,1.009,0.0,0.983,0.699,0.711,0.716,0.07,0.728,0.741,0.212,0.168,0.213,0.142
2.0,18.851,352.11,6.0,339.0,31.0,365.0,435,442.0,31.451,18.47,-0.885,84.426,0.767,1.016,0.0,0.991,0.786,0.781,0.776,0.042,0.829,0.84,0.137,0.116,0.192,0.051
3.0,23.605,377.452,16.0,372.0,31.0,382.0,124,124.0,15.809,10.271,0.299,41.799,0.892,1.0,0.0,1.0,0.799,0.79,0.791,0.056,0.845,0.858,0.059,0.048,0.197,0.047
4.0,35.989,344.436,32.0,339.0,40.0,351.0,94,94.0,13.42,9.059,-1.5,35.314,0.947,1.0,0.0,0.989,0.791,0.805,0.804,0.07,0.837,0.843,0.145,0.121,0.212,0.097
5.0,63.411,360.395,58.0,354.0,69.0,366.0,124,124.0,13.399,11.904,-1.337,38.971,1.026,1.0,0.0,1.0,0.761,0.76,0.763,0.054,0.808,0.814,0.107,0.086,0.246,0.07
6.0,78.637,62.661,69.0,58.0,87.0,68.0,168,168.0,18.902,11.534,0.054,48.385,0.902,1.0,0.0,1.0,0.81,0.812,0.816,0.118,0.866,0.874,0.019,0.022,0.037,0.018
8.0,98.735,75.069,93.0,70.0,105.0,81.0,102,102.0,14.704,8.893,0.662,37.213,0.926,1.0,0.0,1.0,0.825,0.827,0.831,0.065,0.882,0.888,0.039,0.036,0.04,0.027
9.0,101.881,86.701,96.0,84.0,108.0,91.0,67,67.0,12.916,6.815,0.236,31.556,0.845,1.0,0.0,1.0,0.821,0.821,0.821,0.061,0.872,0.881,0.029,0.027,0.045,0.024
10.0,106.351,66.84,100.0,62.0,111.0,73.0,94,94.0,13.964,8.757,0.888,35.971,0.913,1.0,0.0,1.0,0.793,0.797,0.805,0.095,0.845,0.856,0.04,0.037,0.049,0.032
12.0,123.516,32.213,116.0,26.0,131.0,38.0,122,123.0,17.01,9.252,-0.62,43.113,0.825,1.008,0.0,1.0,0.757,0.761,0.768,0.09,0.811,0.821,0.063,0.051,0.099,0.056
14.0,125.304,44.875,120.0,41.0,129.0,49.0,56,56.0,11.889,6.171,0.719,28.142,0.889,1.0,0.0,1.0,0.745,0.753,0.766,0.12,0.787,0.798,0.117,0.086,0.107,0.108
15.0,129.911,161.789,125.0,156.0,135.0,168.0,123,123.0,13.961,11.383,1.161,39.899,0.971,1.0,0.0,1.0,0.732,0.733,0.739,0.037,0.777,0.789,0.06,0.05,0.086,0.041
16.0,138.822,78.89,131.0,72.0,148.0,85.0,191,191.0,18.243,13.562,-0.215,51.213,0.915,1.0,0.0,1.0,0.778,0.776,0.782,0.044,0.83,0.841,0.058,0.05,0.071,0.039
17.0,140.278,112.423,134.0,108.0,146.0,117.0,97,97.0,12.95,9.563,-0.318,34.385,1.031,1.0,0.0,1.0,0.618,0.626,0.644,0.049,0.592,0.633,0.114,0.091,0.139,0.072
18.0,148.673,47.412,140.0,39.0,156.0,55.0,226,226.0,17.353,16.696,-1.451,54.042,0.972,1.0,0.0,1.0,0.755,0.754,0.76,0.076,0.808,0.822,0.043,0.037,0.068,0.023
19.0,152.25,358.783,147.0,356.0,157.0,362.0,60,60.0,11.305,6.776,0.004,27.899,0.969,1.0,0.0,1.0,0.712,0.712,0.707,0.1,0.736,0.743,0.062,0.056,0.194,0.071
20.0,154.885,113.724,149.0,109.0,161.0,118.0,87,87.0,11.943,9.422,-0.127,33.213,0.991,1.0,0.0,1.0,0.66,0.674,0.693,0.043,0.674,0.696,0.087,0.077,0.186,0.069
21.0,175.366,364.893,170.0,359.0,181.0,371.0,112,112.0,12.494,11.526,1.562,37.213,1.016,1.0,0.0,1.0,0.734,0.732,0.726,0.044,0.788,0.802,0.034,0.036,0.132,0.033
22.0,316.007,43.746,307.0,39.0,326.0,48.0,138,138.0,19.775,9.087,-0.11,47.213,0.778,1.0,0.0,1.0,0.817,0.819,0.827,0.094,0.859,0.87,0.093,0.073,0.129,0.078
23.0,327.164,31.202,318.0,24.0,335.0,40.0,238,238.0,19.596,15.667,0.691,56.627,0.933,1.0,0.0,1.0,0.846,0.846,0.845,0.079,0.898,0.906,0.042,0.046,0.159,0.031
24.0,346.844,15.74,342.0,10.0,351.0,22.0,96,96.0,13.529,9.083,-1.305,35.556,0.954,1.0,0.0,1.0,0.852,0.848,0.854,0.091,0.898,0.897,0.085,0.069,0.112,0.066
