"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,10.794,140.327,3.0,131.0,18.0,149.0,214,214.0,18.816,14.646,1.246,54.284,0.913,1.0,0.0,0.995,0.819,0.818,0.814,0.034,0.857,0.868,0.067,0.055,0.124,0.033
2.0,10.212,214.938,3.0,209.0,18.0,220.0,160,160.0,16.657,12.384,0.193,45.556,0.969,1.0,0.0,1.0,0.829,0.837,0.829,0.023,0.87,0.89,0.017,0.017,0.057,0.015
3.0,9.916,260.325,4.0,256.0,15.0,265.0,83,83.0,12.542,8.61,-0.413,33.556,0.926,1.0,0.0,1.0,0.818,0.818,0.82,0.018,0.869,0.877,0.025,0.026,0.053,0.027
4.0,15.909,319.5,10.0,316.0,22.0,323.0,88,88.0,13.668,8.177,0.201,33.314,0.996,1.0,0.0,1.0,0.806,0.815,0.807,0.022,0.859,0.865,0.053,0.044,0.07,0.037
5.0,17.013,340.278,10.0,334.0,24.0,347.0,158,158.0,14.781,13.621,0.132,44.627,0.997,1.0,0.0,1.0,0.788,0.79,0.787,0.029,0.834,0.846,0.067,0.058,0.055,0.041
7.0,31.935,356.018,20.0,342.0,44.0,368.0,494,495.0,26.823,23.839,1.339,82.426,0.914,0.998,0.0,0.998,0.81,0.812,0.804,0.021,0.858,0.872,0.043,0.035,0.086,0.022
8.0,24.415,378.264,20.0,375.0,28.0,382.0,53,53.0,9.568,7.077,0.651,25.314,1.039,1.0,0.0,1.0,0.816,0.823,0.819,0.021,0.856,0.871,0.02,0.016,0.031,0.019
9.0,29.68,283.888,22.0,276.0,39.0,293.0,197,197.0,19.223,13.729,0.948,54.698,0.827,1.0,0.0,1.0,0.828,0.831,0.822,0.038,0.872,0.882,0.03,0.03,0.152,0.029
10.0,29.979,217.78,23.0,211.0,36.0,224.0,141,141.0,14.304,12.596,0.998,41.456,1.031,1.0,0.0,1.0,0.816,0.819,0.811,0.031,0.861,0.873,0.024,0.026,0.061,0.022
11.0,27.787,329.394,23.0,324.0,33.0,335.0,94,94.0,12.271,9.777,1.157,34.385,0.999,1.0,0.0,1.0,0.793,0.8,0.792,0.033,0.841,0.853,0.07,0.061,0.09,0.049
12.0,33.099,265.247,28.0,261.0,38.0,270.0,81,81.0,11.81,8.824,-0.659,31.556,1.022,1.0,0.0,1.0,0.82,0.813,0.814,0.052,0.853,0.868,0.047,0.045,0.101,0.044
13.0,48.586,243.702,34.0,230.0,65.0,259.0,718,724.0,32.435,28.442,0.439,101.255,0.88,0.992,0.0,1.0,0.827,0.831,0.821,0.024,0.871,0.885,0.035,0.039,0.076,0.018
14.0,46.663,158.64,41.0,155.0,53.0,163.0,89,89.0,13.422,8.484,0.184,34.142,0.959,1.0,0.0,1.0,0.817,0.824,0.815,0.023,0.869,0.874,0.03,0.031,0.059,0.023
15.0,51.474,118.292,44.0,111.0,59.0,127.0,192,192.0,16.93,14.623,-0.914,50.284,0.954,1.0,0.0,0.995,0.705,0.719,0.729,0.066,0.72,0.76,0.073,0.061,0.092,0.043
19.0,53.569,358.52,49.0,352.0,58.0,365.0,102,104.0,13.995,9.522,1.225,39.142,0.837,0.981,0.0,1.0,0.807,0.814,0.807,0.037,0.849,0.869,0.048,0.039,0.077,0.031
20.0,58.377,285.679,54.0,282.0,63.0,289.0,53,53.0,10.363,6.599,0.504,26.142,0.975,1.0,0.0,0.962,0.755,0.762,0.769,0.11,0.762,0.794,0.157,0.117,0.213,0.153
