area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
928,10.0,358.0,52.0,395.0,30.0,374.0,1000.0,1.0,43.08,29.27,0.63,127.54,123.6,0.0,0.08,0.93,0.95
3588,49.0,192.0,118.0,272.0,79.0,234.0,3770.0,2.0,90.7,51.72,0.96,244.11,234.11,1.0,0.66,0.91,0.93
285,56.0,44.0,69.0,69.0,62.0,56.0,299.0,3.0,26.72,13.66,1.33,66.42,65.85,1.0,0.64,0.88,0.88
1950,107.0,211.0,166.0,265.0,134.0,239.0,2045.0,4.0,72.13,35.17,0.75,184.24,177.74,1.0,0.65,0.9,0.92
788,115.0,32.0,145.0,64.0,128.0,47.0,806.0,5.0,33.83,31.09,-0.71,107.01,104.14,1.0,0.65,0.87,0.87
2857,130.0,307.0,222.0,354.0,181.0,328.0,3157.0,6.0,96.21,41.29,0.16,243.68,233.71,0.0,0.02,0.95,0.96
326,155.0,265.0,172.0,287.0,164.0,276.0,340.0,7.0,23.94,17.62,1.35,67.46,66.63,1.0,0.58,0.9,0.91
1203,215.0,309.0,257.0,350.0,238.0,330.0,1274.0,8.0,48.86,33.23,0.86,141.98,137.29,0.0,0.05,0.95,0.97
111,225.0,294.0,238.0,304.0,232.0,299.0,122.0,9.0,14.02,10.22,-0.23,38.97,39.63,0.0,0.05,0.84,0.88
161,295.0,316.0,310.0,328.0,303.0,322.0,169.0,11.0,17.4,11.84,-0.52,46.38,46.66,0.0,0.08,0.86,0.89
491,311.0,321.0,343.0,342.0,327.0,331.0,516.0,12.0,36.03,17.57,0.4,89.01,87.07,0.0,0.12,0.91,0.93
51,344.0,370.0,349.0,384.0,346.0,377.0,60.0,13.0,17.03,3.91,-1.33,33.9,34.82,0.0,0.02,0.8,0.82
185,350.0,371.0,362.0,389.0,356.0,380.0,201.0,14.0,21.62,11.21,-1.33,54.14,54.01,0.0,0.02,0.81,0.84
