area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
106,188.0,300.0,198.0,313.0,193.0,306.0,112.0,1.0,14.38,9.41,1.15,37.8,38.52,1.0,0.64,0.84,0.85
144,218.0,329.0,229.0,343.0,223.0,337.0,150.0,2.0,15.44,12.0,1.21,42.97,43.42,1.0,0.66,0.87,0.9
120,223.0,354.0,236.0,366.0,229.0,360.0,126.0,3.0,14.39,10.76,-0.82,40.04,40.64,1.0,0.67,0.88,0.89
83,251.0,188.0,260.0,198.0,256.0,193.0,90.0,4.0,12.5,8.48,-0.89,32.73,33.71,1.0,0.56,0.88,0.9
256,289.0,145.0,309.0,161.0,300.0,152.0,268.0,5.0,22.93,14.47,0.52,62.04,61.5,1.0,0.56,0.86,0.89
180,315.0,170.0,332.0,182.0,324.0,176.0,190.0,7.0,18.31,12.61,0.28,49.21,49.34,0.99,0.56,0.85,0.88
282,320.0,32.0,338.0,51.0,330.0,41.0,296.0,8.0,19.67,18.5,1.1,61.7,61.18,0.09,0.4,0.83,0.87
161,333.0,75.0,344.0,94.0,339.0,85.0,176.0,9.0,18.56,11.37,1.56,50.63,50.68,0.78,0.45,0.81,0.86
163,350.0,28.0,365.0,43.0,357.0,36.0,180.0,10.0,16.36,13.37,0.74,50.53,50.58,0.13,0.42,0.83,0.87
186,352.0,130.0,365.0,147.0,358.0,138.0,196.0,12.0,17.99,13.19,1.25,49.46,49.57,1.0,0.51,0.85,0.88
89,357.0,90.0,367.0,102.0,362.0,96.0,97.0,14.0,14.25,8.12,-0.93,35.8,36.62,0.39,0.42,0.82,0.86
