area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
97,111.0,354.0,129.0,359.0,120.0,357.0,100.0,1.0,19.41,6.35,-0.0,41.9,42.4,0.0,0.19,0.75,0.77
141,130.0,335.0,141.0,349.0,135.0,342.0,149.0,2.0,15.65,11.69,-1.3,43.97,44.76,0.26,0.32,0.73,0.75
140,137.0,348.0,154.0,359.0,145.0,353.0,146.0,3.0,17.61,10.4,-0.35,44.87,45.22,0.07,0.33,0.77,0.79
359,140.0,318.0,160.0,340.0,149.0,328.0,373.0,4.0,25.42,18.43,-0.87,71.7,70.66,0.57,0.42,0.79,0.81
614,147.0,353.0,179.0,382.0,165.0,367.0,651.0,5.0,36.66,22.33,0.69,101.5,98.91,0.46,0.38,0.79,0.81
194,152.0,341.0,180.0,355.0,165.0,348.0,219.0,6.0,30.99,8.47,0.44,68.77,67.88,0.23,0.34,0.78,0.79
173,200.0,211.0,215.0,226.0,208.0,218.0,188.0,7.0,15.64,14.65,1.01,50.63,50.68,1.0,0.6,0.85,0.85
715,208.0,89.0,235.0,120.0,222.0,106.0,739.0,8.0,34.74,26.61,-1.04,101.36,98.77,1.0,0.59,0.87,0.89
93,209.0,253.0,217.0,268.0,213.0,261.0,101.0,9.0,15.21,7.98,-1.55,37.8,38.52,1.0,0.58,0.86,0.86
462,212.0,259.0,237.0,290.0,225.0,273.0,497.0,10.0,35.54,16.91,-0.92,89.7,88.87,1.0,0.54,0.86,0.87
519,212.0,359.0,239.0,389.0,226.0,373.0,569.0,11.0,35.09,20.23,0.92,95.25,92.99,0.0,0.13,0.79,0.8
102,217.0,50.0,228.0,60.0,223.0,55.0,107.0,12.0,14.23,9.23,-0.73,36.73,37.5,1.0,0.66,0.88,0.89
176,218.0,121.0,235.0,137.0,226.0,129.0,194.0,13.0,20.79,11.43,-0.72,54.28,54.15,1.0,0.6,0.87,0.88
494,218.0,215.0,243.0,242.0,229.0,226.0,515.0,14.0,31.21,21.54,-0.99,88.18,86.28,1.0,0.57,0.88,0.89
284,226.0,293.0,239.0,318.0,232.0,306.0,299.0,15.0,27.18,13.6,-1.42,66.63,65.85,0.79,0.48,0.85,0.86
426,233.0,358.0,273.0,376.0,255.0,366.0,458.0,16.0,42.31,13.23,0.35,98.43,96.0,0.0,0.12,0.85,0.86
214,237.0,264.0,249.0,285.0,243.0,275.0,227.0,17.0,22.28,12.91,-1.42,58.76,58.59,0.61,0.47,0.86,0.88
240,240.0,109.0,255.0,131.0,248.0,122.0,255.0,18.0,24.34,13.38,-1.13,62.87,62.29,0.99,0.61,0.88,0.9
167,240.0,373.0,249.0,393.0,245.0,383.0,174.0,19.0,22.56,9.47,1.35,52.14,52.12,0.0,0.15,0.9,0.92
62,241.0,337.0,251.0,344.0,246.0,341.0,65.0,20.0,10.76,7.37,0.35,27.56,28.81,0.0,0.3,0.84,0.87
197,242.0,33.0,257.0,49.0,250.0,42.0,208.0,21.0,19.53,13.28,-0.89,54.04,53.92,1.0,0.65,0.88,0.89
82,255.0,258.0,264.0,268.0,260.0,263.0,91.0,23.0,10.84,9.81,-0.96,33.11,34.26,0.04,0.37,0.86,0.89
115,255.0,274.0,267.0,285.0,261.0,280.0,123.0,24.0,13.22,11.14,-0.63,38.38,39.07,0.17,0.4,0.88,0.89
297,256.0,105.0,275.0,124.0,265.0,113.0,320.0,25.0,22.82,17.57,-1.03,69.35,68.63,1.0,0.53,0.88,0.89
76,258.0,215.0,269.0,223.0,263.0,219.0,83.0,26.0,12.1,8.48,0.03,32.73,33.71,0.72,0.48,0.85,0.86
131,260.0,125.0,269.0,140.0,265.0,132.0,138.0,27.0,17.17,9.82,-1.31,43.31,43.75,1.0,0.55,0.85,0.87
2474,261.0,145.0,313.0,219.0,288.0,183.0,2577.0,29.0,78.23,41.28,-1.2,205.72,197.72,0.44,0.46,0.88,0.89
111,263.0,88.0,276.0,99.0,269.0,93.0,118.0,31.0,15.01,9.58,-0.53,39.21,39.86,0.99,0.51,0.87,0.88
225,265.0,47.0,279.0,72.0,271.0,58.0,244.0,32.0,27.59,10.9,-1.22,65.7,64.97,1.0,0.6,0.84,0.85
6810,265.0,239.0,363.0,335.0,308.0,290.0,7174.0,33.0,96.21,93.95,-0.3,334.25,319.57,0.25,0.4,0.89,0.91
370,268.0,349.0,287.0,375.0,278.0,361.0,389.0,34.0,30.77,15.72,1.16,77.7,76.34,0.0,0.17,0.87,0.89
136,271.0,134.0,282.0,147.0,277.0,141.0,144.0,35.0,14.3,12.25,-1.32,42.14,42.63,0.99,0.51,0.88,0.9
261,272.0,59.0,296.0,76.0,283.0,67.0,281.0,36.0,27.82,12.17,-0.6,67.94,67.09,0.99,0.51,0.84,0.85
301,277.0,74.0,297.0,92.0,287.0,84.0,313.0,37.0,23.36,16.79,-0.5,64.87,64.18,0.98,0.51,0.88,0.88
375,286.0,117.0,311.0,138.0,299.0,128.0,398.0,38.0,30.36,15.96,-0.58,77.36,76.02,0.61,0.47,0.86,0.87
470,289.0,90.0,319.0,110.0,305.0,100.0,494.0,39.0,29.74,20.64,0.07,84.77,83.05,0.98,0.51,0.88,0.9
190,289.0,370.0,307.0,385.0,298.0,377.0,219.0,40.0,17.82,14.39,-0.14,56.28,56.04,0.0,0.16,0.91,0.93
199,301.0,133.0,315.0,151.0,309.0,142.0,209.0,41.0,18.29,14.37,-1.14,53.46,53.36,0.75,0.47,0.85,0.87
1046,309.0,333.0,339.0,380.0,326.0,353.0,1087.0,42.0,47.17,29.83,1.37,134.91,130.59,0.0,0.14,0.88,0.9
73,311.0,187.0,322.0,195.0,317.0,191.0,78.0,43.0,11.91,7.98,-0.31,30.97,32.04,0.44,0.46,0.86,0.88
80,311.0,385.0,324.0,392.0,317.0,389.0,87.0,44.0,13.55,7.7,0.18,34.14,35.05,0.0,0.17,0.92,0.93
447,312.0,37.0,341.0,64.0,325.0,50.0,471.0,45.0,37.34,15.9,-0.73,92.33,90.21,1.0,0.59,0.86,0.87
462,320.0,196.0,344.0,217.0,332.0,205.0,472.0,46.0,26.52,22.68,0.29,79.46,78.01,0.93,0.54,0.88,0.9
398,322.0,119.0,345.0,147.0,334.0,133.0,423.0,47.0,33.98,15.13,1.03,83.25,81.61,0.06,0.39,0.87,0.89
2516,325.0,46.0,379.0,113.0,352.0,80.0,2625.0,48.0,71.09,45.73,1.16,201.82,194.02,0.87,0.5,0.87,0.89
72,326.0,382.0,336.0,390.0,331.0,386.0,79.0,49.0,12.0,7.71,0.58,30.73,31.81,0.0,0.13,0.89,0.92
172,328.0,154.0,344.0,169.0,337.0,161.0,187.0,50.0,16.48,13.8,0.56,50.28,50.35,0.23,0.39,0.83,0.85
120,335.0,110.0,350.0,118.0,342.0,114.0,127.0,51.0,16.04,9.82,0.05,41.49,42.4,0.06,0.41,0.85,0.87
498,337.0,203.0,363.0,236.0,351.0,219.0,528.0,53.0,37.33,17.38,-1.0,92.23,90.12,0.92,0.55,0.89,0.91
57,338.0,238.0,350.0,245.0,344.0,241.0,69.0,54.0,12.76,6.67,-0.17,32.11,33.71,1.0,0.55,0.87,0.88
165,342.0,123.0,360.0,135.0,351.0,129.0,176.0,55.0,20.24,10.48,0.53,50.63,50.68,0.13,0.43,0.87,0.89
113,344.0,178.0,358.0,188.0,351.0,183.0,121.0,56.0,14.11,10.36,-0.38,39.21,39.86,0.03,0.18,0.86,0.88
81,345.0,192.0,355.0,201.0,350.0,196.0,87.0,57.0,10.8,9.87,-0.08,32.73,33.71,0.1,0.35,0.89,0.91
1530,351.0,139.0,396.0,183.0,372.0,162.0,1616.0,58.0,53.82,36.89,0.78,154.47,149.13,0.04,0.32,0.89,0.91
747,353.0,233.0,386.0,263.0,370.0,247.0,794.0,59.0,36.02,27.29,0.53,106.08,103.25,1.0,0.55,0.88,0.9
224,356.0,183.0,375.0,198.0,365.0,190.0,234.0,60.0,19.38,15.02,-0.04,56.28,56.04,0.0,0.09,0.89,0.91
85,358.0,120.0,369.0,129.0,363.0,124.0,90.0,61.0,11.98,9.33,0.41,32.97,33.94,0.66,0.48,0.87,0.89
157,367.0,212.0,376.0,229.0,371.0,220.0,163.0,62.0,19.5,10.34,1.45,47.9,48.09,0.97,0.55,0.89,0.9
563,367.0,287.0,394.0,317.0,382.0,302.0,588.0,63.0,32.26,23.23,0.95,93.5,91.32,0.99,0.54,0.88,0.89
378,372.0,183.0,398.0,208.0,385.0,196.0,403.0,64.0,33.57,14.81,-0.71,82.08,80.5,0.09,0.27,0.88,0.9
500,376.0,113.0,397.0,141.0,387.0,128.0,531.0,65.0,30.19,21.44,-1.37,85.7,83.93,0.31,0.45,0.87,0.89
92,383.0,44.0,393.0,54.0,388.0,50.0,95.0,66.0,12.21,9.82,0.72,34.14,35.05,0.98,0.52,0.81,0.83
