"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,39.91,218.396,27.0,207.0,56.0,232.0,599,603.0,30.984,25.334,-0.524,92.426,0.881,1.007,1.0,0.0,0.859,0.853,0.849,0.656,0.909,0.912,0.0,0.044,0.0,0.0
2.0,47.61,306.449,32.0,294.0,60.0,320.0,461,484.0,33.443,18.676,0.745,88.083,0.747,1.05,1.0,0.0,0.842,0.839,0.842,0.636,0.888,0.9,0.0,0.036,0.0,0.0
3.0,37.412,351.266,32.0,339.0,43.0,362.0,199,201.0,22.971,11.477,1.531,57.627,0.753,1.01,1.0,0.0,0.866,0.864,0.87,0.585,0.907,0.922,0.0,0.027,0.0,0.0
4.0,61.107,353.409,51.0,343.0,71.0,364.0,364,364.0,22.932,20.257,-0.745,68.527,0.974,1.0,1.0,0.0,0.847,0.849,0.855,0.605,0.885,0.903,0.0,0.024,0.0,0.0
5.0,86.775,366.709,72.0,355.0,100.0,379.0,561,562.0,29.34,24.717,0.027,88.77,0.895,1.002,1.0,0.0,0.885,0.885,0.886,0.619,0.918,0.934,0.0,0.025,0.0,0.0
6.0,85.876,345.476,79.0,342.0,93.0,349.0,105,107.0,16.134,8.385,0.048,38.728,0.88,1.019,1.0,0.0,0.811,0.81,0.827,0.634,0.863,0.874,0.0,0.03,0.0,0.0
7.0,106.957,131.371,100.0,126.0,114.0,137.0,140,140.0,16.104,11.157,-0.148,43.556,0.927,1.0,0.0,1.0,0.875,0.88,0.875,0.179,0.9,0.917,0.073,0.073,0.101,0.052
8.0,114.821,80.221,108.0,75.0,122.0,86.0,140,140.0,15.318,11.66,-0.213,41.799,1.007,1.0,0.0,1.0,0.891,0.895,0.893,0.183,0.906,0.935,0.025,0.025,0.036,0.014
9.0,122.335,360.552,114.0,354.0,131.0,368.0,203,203.0,17.821,14.652,0.358,51.456,0.963,1.0,1.0,0.0,0.846,0.845,0.853,0.538,0.883,0.9,0.0,0.065,0.0,0.0
10.0,131.84,220.025,121.0,204.0,142.0,236.0,551,551.0,34.241,20.746,1.325,89.598,0.863,1.0,1.0,0.0,0.852,0.853,0.852,0.487,0.89,0.908,0.0,0.046,0.0,0.0
11.0,146.74,206.329,142.0,202.0,151.0,211.0,73,73.0,11.903,7.886,0.766,30.728,0.972,1.0,1.0,0.0,0.846,0.85,0.854,0.434,0.879,0.899,0.0,0.068,0.0,0.0
12.0,164.743,265.213,154.0,252.0,175.0,278.0,474,474.0,28.127,21.523,-1.204,79.941,0.932,1.0,1.0,0.0,0.868,0.87,0.875,0.541,0.894,0.917,0.0,0.038,0.0,0.0
13.0,224.085,93.11,216.0,80.0,232.0,105.0,353,355.0,26.924,16.913,1.491,72.077,0.854,1.006,0.0,0.938,0.805,0.807,0.812,0.341,0.841,0.857,0.132,0.123,0.069,0.047
14.0,230.354,140.585,225.0,133.0,237.0,149.0,164,164.0,17.701,12.153,-1.215,47.799,0.902,1.0,0.0,1.0,0.898,0.896,0.894,0.219,0.919,0.935,0.072,0.071,0.085,0.04
15.0,236.765,161.012,231.0,152.0,243.0,169.0,166,166.0,17.111,12.473,1.323,46.87,0.95,1.0,0.0,1.0,0.935,0.933,0.929,0.1,0.94,0.951,0.051,0.049,0.09,0.031
16.0,245.975,146.554,240.0,141.0,252.0,152.0,121,121.0,15.091,10.25,-0.733,39.556,0.972,1.0,0.0,0.992,0.884,0.878,0.884,0.253,0.91,0.922,0.091,0.086,0.134,0.061
17.0,314.695,76.3,296.0,61.0,335.0,92.0,990,990.0,40.257,31.554,0.145,118.326,0.889,1.0,1.0,0.0,0.87,0.869,0.87,0.535,0.914,0.924,0.0,0.03,0.0,0.0
18.0,324.109,262.829,318.0,253.0,330.0,274.0,193,197.0,21.808,11.406,-1.332,57.663,0.729,1.021,1.0,0.0,0.861,0.862,0.87,0.598,0.896,0.914,0.0,0.028,0.0,0.0
19.0,337.135,243.418,330.0,235.0,346.0,251.0,208,208.0,19.375,13.964,0.774,53.456,0.915,1.0,1.0,0.0,0.883,0.884,0.884,0.552,0.908,0.934,0.0,0.017,0.0,0.0
20.0,370.368,195.971,361.0,182.0,380.0,208.0,413,413.0,26.434,20.197,1.456,76.527,0.886,1.0,0.0,1.0,0.913,0.911,0.917,0.279,0.929,0.951,0.032,0.03,0.074,0.022
21.0,380.497,315.099,368.0,302.0,395.0,329.0,557,557.0,27.519,26.336,-0.672,88.083,0.902,1.0,1.0,0.0,0.873,0.874,0.877,0.634,0.906,0.927,0.0,0.025,0.0,0.0
