area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
473,25.0,258.0,46.0,283.0,36.0,270.0,485.0,1.0,26.7,22.9,-1.56,79.7,78.24,0.78,0.46,0.83,0.86
418,64.0,149.0,92.0,168.0,78.0,159.0,430.0,2.0,29.99,17.83,0.36,77.6,76.25,0.49,0.43,0.81,0.84
151,79.0,341.0,92.0,353.0,85.0,347.0,157.0,3.0,14.26,13.61,-0.28,43.56,43.98,1.0,0.47,0.81,0.84
94,86.0,114.0,96.0,125.0,91.0,119.0,101.0,4.0,13.1,9.5,-0.85,36.14,36.95,0.64,0.43,0.8,0.83
60,126.0,41.0,134.0,50.0,130.0,45.0,64.0,5.0,11.26,6.81,-0.95,28.14,29.36,0.32,0.23,0.65,0.7
2194,191.0,304.0,236.0,368.0,213.0,337.0,2240.0,6.0,70.83,39.57,1.16,184.02,177.15,0.6,0.43,0.83,0.85
99,223.0,34.0,233.0,47.0,228.0,41.0,106.0,7.0,15.58,8.16,1.07,37.8,38.52,0.03,0.28,0.81,0.84
286,223.0,223.0,245.0,240.0,235.0,232.0,303.0,8.0,24.61,15.29,-0.43,66.53,65.75,0.41,0.43,0.81,0.84
285,256.0,82.0,275.0,101.0,267.0,91.0,294.0,9.0,20.59,18.48,-0.89,63.11,62.52,0.1,0.35,0.79,0.8
86,262.0,17.0,272.0,28.0,267.0,23.0,91.0,10.0,15.07,7.34,-0.91,34.97,35.84,0.0,0.18,0.79,0.81
128,272.0,40.0,284.0,51.0,278.0,46.0,136.0,11.0,14.25,11.56,0.48,40.73,41.29,0.02,0.13,0.77,0.78
141,286.0,175.0,301.0,188.0,294.0,181.0,152.0,12.0,17.37,10.53,0.5,45.46,45.78,0.4,0.42,0.81,0.83
109,298.0,121.0,309.0,132.0,303.0,126.0,115.0,13.0,14.24,9.89,-0.88,38.14,38.84,0.39,0.39,0.78,0.8
239,339.0,90.0,357.0,107.0,348.0,99.0,251.0,14.0,20.75,15.07,-0.65,58.28,57.94,0.01,0.32,0.84,0.86
273,351.0,55.0,368.0,74.0,360.0,64.0,290.0,15.0,22.15,15.92,1.18,62.04,61.5,0.0,0.15,0.84,0.86
153,373.0,22.0,386.0,35.0,380.0,28.0,161.0,16.0,14.88,13.39,-0.89,44.97,45.32,0.0,0.18,0.83,0.85
171,374.0,57.0,391.0,68.0,383.0,63.0,177.0,17.0,17.92,12.23,-0.03,47.21,47.44,0.02,0.26,0.83,0.85
