area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
129,32.0,218.0,47.0,228.0,39.0,223.0,137.0,1.0,16.19,10.3,-0.02,42.38,42.86,1.0,0.65,0.84,0.88
898,33.0,316.0,69.0,356.0,51.0,337.0,949.0,2.0,49.8,23.37,-0.8,123.3,119.57,1.0,0.59,0.84,0.89
303,34.0,189.0,57.0,205.0,45.0,198.0,313.0,3.0,23.45,16.67,0.17,64.53,63.86,1.0,0.62,0.84,0.89
503,34.0,235.0,57.0,262.0,46.0,248.0,521.0,4.0,30.09,21.62,-1.26,84.77,83.05,1.0,0.66,0.85,0.89
175,41.0,372.0,60.0,383.0,52.0,378.0,182.0,5.0,19.93,11.95,-0.26,51.8,51.79,1.0,0.62,0.86,0.91
107,45.0,358.0,58.0,367.0,51.0,362.0,111.0,6.0,15.16,9.03,-0.44,37.56,38.29,1.0,0.62,0.84,0.88
113,53.0,269.0,64.0,281.0,58.0,275.0,122.0,7.0,14.51,10.01,-1.01,39.56,40.18,1.0,0.63,0.84,0.88
2060,75.0,314.0,135.0,360.0,107.0,336.0,2160.0,8.0,63.1,42.35,0.41,181.68,174.93,1.0,0.65,0.87,0.92
183,85.0,355.0,93.0,378.0,89.0,366.0,190.0,9.0,24.68,9.58,1.47,55.73,55.91,1.0,0.62,0.85,0.89
313,101.0,256.0,121.0,279.0,111.0,268.0,332.0,10.0,28.61,14.22,0.94,72.53,71.44,1.0,0.67,0.87,0.9
192,103.0,372.0,115.0,390.0,109.0,381.0,201.0,11.0,20.11,12.34,-1.32,51.8,51.79,1.0,0.68,0.88,0.91
414,125.0,278.0,148.0,301.0,137.0,289.0,439.0,12.0,26.61,19.93,0.89,78.01,77.26,1.0,0.67,0.88,0.91
131,132.0,311.0,145.0,323.0,138.0,317.0,137.0,13.0,15.69,10.8,-0.63,41.8,42.31,1.0,0.67,0.86,0.89
87,151.0,257.0,160.0,268.0,155.0,262.0,93.0,14.0,13.05,8.57,-1.08,34.14,35.05,1.0,0.68,0.88,0.9
549,151.0,286.0,186.0,306.0,168.0,296.0,576.0,15.0,37.42,18.85,-0.32,94.77,92.53,1.0,0.62,0.86,0.91
174,155.0,233.0,169.0,248.0,162.0,241.0,184.0,16.0,16.98,13.28,-1.03,48.63,48.78,1.0,0.67,0.85,0.88
1794,157.0,181.0,199.0,235.0,180.0,207.0,1868.0,17.0,55.87,41.59,1.4,164.71,158.84,1.0,0.67,0.86,0.91
182,163.0,269.0,180.0,282.0,172.0,276.0,195.0,18.0,18.53,12.84,-0.56,52.38,52.35,1.0,0.64,0.83,0.88
306,174.0,311.0,188.0,337.0,181.0,325.0,323.0,19.0,27.55,14.41,-1.45,68.87,67.97,1.0,0.62,0.85,0.9
150,189.0,265.0,203.0,278.0,197.0,272.0,159.0,20.0,15.76,12.37,-0.6,44.63,44.99,1.0,0.68,0.84,0.87
146,204.0,304.0,213.0,322.0,209.0,313.0,155.0,22.0,20.36,9.23,-1.38,48.14,48.32,1.0,0.67,0.87,0.9
133,205.0,215.0,217.0,227.0,211.0,220.0,139.0,23.0,13.61,12.62,-1.05,40.97,41.52,1.0,0.68,0.85,0.9
7203,216.0,221.0,329.0,309.0,273.0,262.0,7429.0,24.0,119.71,77.98,0.58,339.56,324.61,1.0,0.67,0.87,0.92
154,237.0,304.0,247.0,320.0,242.0,312.0,162.0,25.0,17.7,11.11,1.56,46.14,46.43,1.0,0.64,0.86,0.89
63,250.0,322.0,258.0,330.0,254.0,326.0,66.0,26.0,11.24,7.33,-0.77,28.49,29.69,1.0,0.67,0.86,0.88
166,259.0,312.0,274.0,326.0,267.0,319.0,175.0,27.0,19.43,10.94,0.74,48.63,48.78,1.0,0.68,0.87,0.9
2178,289.0,148.0,353.0,196.0,319.0,169.0,2250.0,28.0,70.15,40.45,-0.44,185.92,178.95,1.0,0.65,0.86,0.91
468,334.0,243.0,363.0,263.0,348.0,254.0,483.0,29.0,29.5,20.48,0.1,81.01,79.49,1.0,0.69,0.9,0.93
