"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,12.078,83.005,5.0,75.0,19.0,93.0,219,219.0,19.178,14.845,1.384,54.627,0.922,1.0,0.0,1.0,0.759,0.777,0.789,0.111,0.768,0.836,0.012,0.012,0.014,0.007
2.0,38.412,378.292,8.0,357.0,66.0,397.0,1678,1705.0,57.236,39.241,0.244,165.539,0.769,0.984,0.0,1.0,0.841,0.864,0.861,0.118,0.836,0.9,0.029,0.028,0.036,0.013
3.0,18.056,119.463,13.0,114.0,24.0,125.0,108,109.0,12.127,11.686,0.321,37.556,0.962,0.991,0.0,1.0,0.74,0.76,0.772,0.098,0.747,0.817,0.025,0.023,0.023,0.016
4.0,26.58,214.433,16.0,204.0,36.0,224.0,312,312.0,24.261,16.618,-0.787,67.113,0.87,1.0,0.269,0.731,0.771,0.788,0.794,0.33,0.784,0.843,0.349,0.03,0.087,0.071
5.0,31.053,96.209,21.0,82.0,41.0,109.0,474,477.0,29.947,20.314,1.24,82.87,0.867,0.994,0.0,1.0,0.77,0.788,0.8,0.141,0.791,0.844,0.013,0.014,0.015,0.007
6.0,39.752,158.579,34.0,153.0,45.0,165.0,133,133.0,13.898,12.3,0.916,40.142,1.037,1.0,0.0,1.0,0.795,0.817,0.824,0.156,0.812,0.863,0.02,0.018,0.025,0.014
7.0,48.294,226.281,41.0,219.0,56.0,235.0,221,221.0,18.188,15.683,0.952,54.385,0.939,1.0,0.081,0.919,0.752,0.77,0.781,0.323,0.76,0.823,0.212,0.024,0.097,0.045
8.0,48.534,340.736,41.0,332.0,55.0,349.0,208,209.0,18.166,14.702,1.415,53.799,0.903,0.995,0.0,0.986,0.828,0.851,0.848,0.024,0.816,0.893,0.076,0.062,0.039,0.029
9.0,58.384,95.519,44.0,80.0,75.0,109.0,653,662.0,33.409,25.439,0.489,98.326,0.849,0.986,0.0,1.0,0.787,0.806,0.81,0.152,0.809,0.856,0.01,0.012,0.012,0.004
10.0,64.047,24.359,53.0,18.0,75.0,32.0,234,236.0,24.185,12.501,-0.289,60.87,0.794,0.992,0.0,1.0,0.813,0.833,0.843,0.176,0.825,0.879,0.015,0.014,0.013,0.009
11.0,59.904,311.136,54.0,305.0,66.0,317.0,125,125.0,13.694,11.716,0.597,39.799,0.992,1.0,0.0,1.0,0.825,0.848,0.85,0.104,0.814,0.888,0.03,0.031,0.033,0.024
12.0,64.985,43.705,56.0,35.0,74.0,52.0,261,261.0,18.711,17.88,0.764,58.87,0.946,1.0,0.0,1.0,0.821,0.843,0.849,0.181,0.835,0.885,0.021,0.02,0.017,0.008
13.0,74.453,74.524,59.0,58.0,89.0,90.0,654,662.0,33.041,25.777,0.941,98.811,0.842,0.988,0.0,1.0,0.811,0.828,0.832,0.227,0.837,0.876,0.011,0.011,0.009,0.004
14.0,82.299,279.908,75.0,274.0,90.0,288.0,174,178.0,16.585,13.869,-0.028,49.213,0.903,0.978,0.0,1.0,0.797,0.82,0.823,0.142,0.799,0.866,0.028,0.027,0.043,0.02
15.0,81.121,301.455,77.0,298.0,86.0,306.0,66,66.0,9.415,9.181,0.394,28.728,1.005,1.0,0.0,1.0,0.845,0.866,0.867,0.035,0.834,0.895,0.01,0.011,0.026,0.009
16.0,132.62,30.24,122.0,21.0,142.0,43.0,337,337.0,24.855,17.661,0.904,69.355,0.88,1.0,0.0,1.0,0.855,0.879,0.879,0.189,0.854,0.913,0.02,0.018,0.014,0.009
17.0,155.506,117.659,152.0,110.0,159.0,124.0,85,86.0,13.749,8.142,1.466,35.728,0.837,0.988,0.0,1.0,0.814,0.83,0.834,0.174,0.822,0.87,0.036,0.032,0.023,0.021
18.0,176.849,104.911,167.0,96.0,187.0,114.0,291,292.0,21.896,16.995,-0.471,63.113,0.918,0.997,0.0,1.0,0.8,0.821,0.831,0.071,0.808,0.869,0.024,0.023,0.02,0.011
19.0,189.839,11.958,182.0,5.0,197.0,19.0,168,168.0,15.561,13.949,0.66,47.456,0.937,1.0,0.0,1.0,0.833,0.855,0.86,0.035,0.82,0.888,0.032,0.029,0.051,0.023
20.0,191.805,117.117,188.0,111.0,195.0,124.0,77,78.0,13.196,7.546,-1.391,33.556,0.859,0.987,0.0,1.0,0.807,0.827,0.839,0.104,0.814,0.874,0.017,0.015,0.023,0.013
21.0,205.568,119.77,200.0,115.0,210.0,124.0,74,75.0,11.466,8.411,-0.805,31.142,0.959,0.987,0.0,1.0,0.814,0.833,0.845,0.102,0.821,0.879,0.033,0.028,0.029,0.021
22.0,214.524,15.013,208.0,5.0,221.0,27.0,233,233.0,22.117,13.686,-1.482,58.87,0.845,1.0,0.0,1.0,0.819,0.842,0.839,0.185,0.818,0.879,0.024,0.022,0.037,0.014
23.0,226.647,107.002,213.0,94.0,239.0,121.0,575,575.0,28.142,26.26,1.207,87.841,0.936,1.0,0.0,1.0,0.809,0.831,0.836,0.189,0.821,0.875,0.02,0.019,0.02,0.008
24.0,222.201,132.955,216.0,128.0,228.0,139.0,134,135.0,14.825,11.842,0.535,43.071,0.908,0.993,0.0,1.0,0.825,0.845,0.847,0.093,0.829,0.886,0.023,0.022,0.023,0.013
25.0,228.536,77.435,220.0,72.0,235.0,84.0,168,168.0,17.371,12.704,0.556,47.556,0.933,1.0,0.0,1.0,0.795,0.817,0.822,0.255,0.805,0.864,0.023,0.02,0.019,0.015
26.0,233.09,58.761,225.0,53.0,240.0,64.0,155,155.0,16.547,12.185,-0.173,46.142,0.915,1.0,0.0,1.0,0.79,0.809,0.82,0.249,0.8,0.859,0.026,0.024,0.022,0.013
