"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,96.332,49.79,61.0,17.0,134.0,82.0,3399,3449.0,71.674,61.314,-0.038,226.208,0.835,1.015,1.0,0.0,0.74,0.754,0.749,0.498,0.764,0.805,0.0,0.052,0.0,0.0
2.0,95.766,126.381,83.0,117.0,106.0,137.0,278,280.0,28.132,13.036,0.689,69.598,0.721,1.007,1.0,0.0,0.715,0.726,0.721,0.468,0.733,0.773,0.0,0.042,0.0,0.0
3.0,120.318,94.879,111.0,86.0,127.0,103.0,223,223.0,17.828,16.561,1.214,54.87,0.931,1.0,1.0,0.0,0.704,0.712,0.708,0.502,0.732,0.767,0.0,0.046,0.0,0.0
4.0,121.671,233.558,112.0,226.0,130.0,243.0,231,234.0,21.264,14.256,0.883,59.284,0.826,1.013,1.0,0.0,0.72,0.723,0.716,0.478,0.743,0.778,0.0,0.036,0.0,0.0
5.0,133.744,164.723,120.0,152.0,152.0,178.0,614,616.0,31.083,26.017,-0.014,94.912,0.857,1.003,1.0,0.0,0.721,0.727,0.719,0.497,0.745,0.778,0.0,0.044,0.0,0.0
6.0,140.152,23.542,127.0,9.0,151.0,38.0,625,626.0,30.251,27.306,-1.52,94.284,0.884,1.002,1.0,0.0,0.769,0.777,0.771,0.532,0.802,0.831,0.0,0.041,0.0,0.0
7.0,137.364,84.273,134.0,79.0,140.0,90.0,66,66.0,11.824,7.264,1.446,29.314,0.965,1.0,1.0,0.0,0.689,0.705,0.709,0.508,0.707,0.735,0.0,0.087,0.0,0.0
8.0,162.826,80.35,150.0,72.0,177.0,89.0,420,420.0,29.778,18.507,0.04,79.799,0.829,1.0,1.0,0.0,0.769,0.778,0.771,0.544,0.808,0.838,0.0,0.031,0.0,0.0
9.0,165.392,57.641,154.0,47.0,178.0,68.0,362,364.0,23.656,19.932,-0.435,72.083,0.875,1.006,1.0,0.0,0.773,0.786,0.778,0.549,0.81,0.84,0.0,0.036,0.0,0.0
10.0,181.536,37.677,172.0,31.0,192.0,45.0,248,248.0,21.174,15.033,0.152,58.042,0.925,1.0,1.0,0.0,0.783,0.791,0.787,0.567,0.822,0.845,0.0,0.032,0.0,0.0
11.0,211.709,58.527,197.0,44.0,225.0,74.0,622,624.0,36.859,21.618,-0.877,96.083,0.847,1.003,1.0,0.0,0.806,0.816,0.812,0.583,0.839,0.87,0.0,0.035,0.0,0.0
12.0,243.098,77.878,233.0,68.0,252.0,88.0,328,328.0,21.404,19.903,-0.881,66.284,0.938,1.0,1.0,0.0,0.792,0.803,0.797,0.594,0.837,0.857,0.0,0.032,0.0,0.0
13.0,250.479,119.342,237.0,106.0,264.0,133.0,524,524.0,32.613,20.562,-0.823,87.497,0.86,1.0,1.0,0.0,0.776,0.784,0.775,0.584,0.826,0.843,0.0,0.032,0.0,0.0
