area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
150,2.0,133.0,16.0,144.0,9.0,139.0,156.0,1.0,15.62,12.39,-0.15,44.14,44.53,0.0,0.04,0.68,0.77
62,5.0,37.0,11.0,48.0,8.0,42.0,68.0,2.0,11.65,6.86,1.45,29.31,30.47,0.0,0.05,0.61,0.69
55,5.0,366.0,12.0,374.0,8.0,370.0,59.0,4.0,9.18,7.63,1.05,25.31,26.68,0.0,0.05,0.68,0.75
189,11.0,249.0,27.0,263.0,19.0,256.0,197.0,6.0,16.83,14.32,0.14,48.87,49.01,0.0,0.03,0.7,0.79
56,12.0,350.0,18.0,358.0,15.0,354.0,57.0,7.0,9.86,7.34,1.45,25.66,27.01,0.0,0.04,0.67,0.73
205,19.0,188.0,35.0,204.0,27.0,196.0,213.0,8.0,21.3,12.37,0.79,54.04,53.92,0.0,0.04,0.69,0.77
92,23.0,97.0,35.0,107.0,29.0,102.0,96.0,9.0,15.77,7.45,-0.62,36.38,37.18,0.01,0.07,0.67,0.76
58,23.0,352.0,30.0,361.0,27.0,356.0,63.0,10.0,10.34,7.19,1.13,27.56,28.81,0.0,0.05,0.65,0.72
337,26.0,104.0,55.0,119.0,42.0,112.0,355.0,13.0,28.13,15.48,0.11,74.11,73.34,0.0,0.04,0.72,0.8
80,30.0,45.0,39.0,54.0,34.0,49.0,83.0,14.0,10.39,9.85,-0.2,30.73,31.81,0.0,0.04,0.7,0.79
121,33.0,236.0,44.0,249.0,38.0,243.0,128.0,15.0,15.68,9.87,0.99,40.38,40.97,0.0,0.07,0.71,0.78
177,34.0,123.0,49.0,138.0,41.0,130.0,187.0,16.0,16.01,14.24,0.9,48.28,48.46,0.0,0.05,0.72,0.8
65,35.0,186.0,44.0,196.0,40.0,191.0,69.0,17.0,14.17,5.98,0.86,31.56,32.6,0.0,0.06,0.69,0.76
58,38.0,38.0,48.0,44.0,44.0,41.0,63.0,18.0,11.2,6.75,-0.09,27.9,29.13,0.0,0.08,0.71,0.77
245,41.0,46.0,57.0,65.0,49.0,55.0,259.0,19.0,19.84,15.82,-1.25,57.7,57.38,0.0,0.05,0.73,0.8
134,42.0,68.0,56.0,81.0,48.0,75.0,147.0,21.0,15.04,12.15,-0.05,45.21,45.55,0.02,0.09,0.71,0.79
133,44.0,307.0,56.0,321.0,50.0,314.0,138.0,22.0,16.55,10.34,0.97,42.63,43.09,0.0,0.04,0.68,0.76
58,45.0,289.0,51.0,300.0,48.0,295.0,62.0,23.0,10.96,6.76,-1.47,27.56,28.81,0.0,0.07,0.73,0.8
263,49.0,203.0,68.0,219.0,59.0,211.0,277.0,26.0,21.79,15.6,-0.35,60.63,60.16,0.0,0.03,0.7,0.78
85,53.0,173.0,64.0,182.0,58.0,178.0,91.0,29.0,12.78,8.52,-0.46,32.97,33.94,0.0,0.04,0.75,0.83
123,54.0,295.0,63.0,311.0,59.0,303.0,129.0,30.0,16.51,9.57,1.37,41.21,41.75,0.02,0.06,0.69,0.78
51,56.0,103.0,64.0,110.0,60.0,106.0,55.0,33.0,10.12,6.48,0.83,25.31,26.68,0.04,0.09,0.7,0.78
180,60.0,148.0,73.0,164.0,66.0,156.0,187.0,34.0,17.89,12.99,1.05,49.21,49.34,0.02,0.06,0.69,0.77
87,60.0,321.0,68.0,332.0,64.0,326.0,90.0,35.0,12.7,8.74,1.36,32.73,33.71,0.0,0.04,0.64,0.72
75,66.0,126.0,74.0,136.0,70.0,131.0,80.0,37.0,10.26,9.34,1.4,30.14,31.26,0.05,0.09,0.68,0.77
398,67.0,369.0,85.0,397.0,76.0,383.0,422.0,38.0,30.24,17.1,1.22,79.11,77.69,0.0,0.04,0.69,0.77
88,70.0,340.0,79.0,351.0,74.0,345.0,93.0,39.0,11.88,9.48,1.37,32.97,33.94,0.0,0.05,0.68,0.76
137,72.0,262.0,82.0,277.0,77.0,269.0,144.0,40.0,16.68,10.61,1.42,42.97,43.42,0.0,0.06,0.68,0.76
1308,72.0,290.0,113.0,333.0,92.0,312.0,1342.0,41.0,45.34,37.08,-0.83,135.2,130.86,0.0,0.03,0.67,0.76
81,73.0,33.0,81.0,47.0,77.0,40.0,88.0,42.0,15.01,7.32,-1.21,36.38,37.18,0.0,0.03,0.74,0.81
86,76.0,105.0,83.0,118.0,80.0,111.0,92.0,44.0,14.21,7.86,-1.55,34.73,35.61,0.0,0.09,0.77,0.82
90,83.0,2.0,92.0,12.0,88.0,7.0,95.0,47.0,11.49,9.95,1.15,32.73,33.71,0.03,0.08,0.68,0.76
52,84.0,32.0,89.0,41.0,86.0,37.0,53.0,48.0,10.71,6.15,-1.37,25.07,26.45,0.0,0.05,0.7,0.79
425,91.0,358.0,111.0,383.0,102.0,371.0,443.0,54.0,26.63,20.68,-1.35,77.11,75.79,0.03,0.05,0.67,0.75
104,92.0,22.0,102.0,34.0,97.0,29.0,109.0,55.0,14.47,9.25,-0.99,36.97,37.73,0.0,0.05,0.71,0.78
74,95.0,248.0,104.0,259.0,100.0,253.0,80.0,56.0,13.8,7.04,0.99,32.97,33.94,0.01,0.05,0.69,0.76
181,104.0,133.0,117.0,149.0,110.0,141.0,190.0,58.0,16.98,13.89,1.39,49.21,49.34,0.0,0.05,0.67,0.75
695,113.0,166.0,137.0,199.0,127.0,182.0,712.0,60.0,35.56,25.93,-1.55,102.28,99.65,0.0,0.03,0.69,0.77
62,117.0,54.0,128.0,61.0,123.0,57.0,66.0,63.0,11.73,6.82,0.46,28.97,30.15,0.0,0.05,0.73,0.81
474,117.0,291.0,136.0,319.0,126.0,306.0,494.0,65.0,29.72,21.03,1.33,84.04,82.36,0.0,0.04,0.66,0.74
84,122.0,360.0,133.0,370.0,127.0,365.0,87.0,69.0,14.38,7.48,-0.69,33.8,34.72,0.0,0.03,0.71,0.79
83,130.0,66.0,141.0,73.0,136.0,69.0,86.0,70.0,12.98,8.24,0.08,32.49,33.48,0.0,0.08,0.74,0.83
56,130.0,379.0,138.0,386.0,134.0,382.0,58.0,72.0,9.16,8.08,0.26,25.9,27.24,0.0,0.05,0.66,0.72
66,131.0,367.0,140.0,375.0,136.0,371.0,70.0,73.0,11.08,7.77,-0.63,29.56,30.7,0.0,0.05,0.66,0.74
211,132.0,91.0,148.0,106.0,139.0,99.0,220.0,75.0,18.04,15.09,0.71,52.63,52.58,0.0,0.04,0.73,0.81
62,133.0,78.0,140.0,87.0,137.0,83.0,64.0,76.0,9.98,8.11,-1.13,27.31,28.58,0.0,0.08,0.71,0.8
100,140.0,11.0,152.0,21.0,146.0,16.0,109.0,78.0,11.88,10.89,0.21,36.38,37.18,0.0,0.09,0.74,0.81
68,141.0,341.0,152.0,349.0,147.0,345.0,76.0,79.0,12.9,6.88,-0.45,32.14,33.15,0.0,0.06,0.64,0.73
156,143.0,34.0,154.0,50.0,148.0,42.0,164.0,80.0,16.87,11.93,-1.45,45.8,46.1,0.0,0.05,0.72,0.8
103,143.0,197.0,153.0,209.0,148.0,203.0,105.0,81.0,14.15,9.36,0.99,36.38,37.18,0.01,0.07,0.64,0.73
92,145.0,169.0,156.0,178.0,151.0,174.0,96.0,82.0,12.49,9.49,-0.24,34.14,35.05,0.01,0.05,0.69,0.75
159,145.0,220.0,159.0,236.0,152.0,227.0,169.0,83.0,19.26,11.15,0.91,49.46,49.57,0.0,0.04,0.66,0.74
60,148.0,380.0,156.0,387.0,152.0,383.0,62.0,85.0,9.97,7.76,0.35,26.49,27.79,0.02,0.06,0.68,0.76
76,157.0,211.0,164.0,222.0,160.0,217.0,79.0,88.0,12.54,7.8,1.4,31.31,32.37,0.0,0.05,0.6,0.67
55,160.0,308.0,168.0,315.0,164.0,312.0,58.0,91.0,10.23,6.9,0.66,25.9,27.24,0.0,0.04,0.69,0.77
51,161.0,326.0,167.0,335.0,164.0,331.0,55.0,92.0,10.56,6.2,-1.23,26.73,28.02,0.0,0.06,0.62,0.7
61,164.0,101.0,173.0,108.0,168.0,104.0,62.0,93.0,10.21,7.77,-0.17,26.73,28.02,0.0,0.06,0.66,0.75
61,168.0,164.0,176.0,171.0,172.0,168.0,62.0,95.0,9.35,8.25,-0.14,25.9,27.24,0.1,0.1,0.68,0.77
227,168.0,206.0,188.0,220.0,177.0,213.0,239.0,96.0,20.23,14.72,0.1,56.87,56.6,0.0,0.04,0.67,0.76
56,168.0,229.0,175.0,237.0,171.0,233.0,59.0,97.0,8.81,8.18,1.38,25.31,26.68,0.0,0.04,0.67,0.76
169,168.0,285.0,184.0,298.0,176.0,292.0,179.0,98.0,17.91,12.22,0.69,48.63,48.78,0.0,0.04,0.69,0.78
82,170.0,337.0,182.0,345.0,176.0,341.0,88.0,99.0,13.52,7.96,0.3,34.14,35.05,0.02,0.06,0.67,0.75
145,173.0,377.0,186.0,391.0,179.0,384.0,156.0,100.0,17.42,10.66,0.79,45.21,45.55,0.0,0.04,0.64,0.74
286,177.0,248.0,195.0,268.0,186.0,259.0,298.0,102.0,23.83,15.41,-0.86,63.7,63.07,0.0,0.03,0.66,0.74
106,179.0,68.0,190.0,79.0,185.0,74.0,114.0,104.0,13.99,9.8,-0.87,37.56,38.29,0.0,0.04,0.72,0.79
85,180.0,226.0,189.0,236.0,184.0,231.0,91.0,105.0,10.69,10.27,1.47,32.73,33.71,0.0,0.05,0.62,0.71
75,182.0,280.0,190.0,289.0,186.0,285.0,78.0,107.0,10.71,8.94,0.97,29.9,31.03,0.0,0.06,0.64,0.71
159,183.0,167.0,197.0,181.0,190.0,174.0,169.0,108.0,14.73,13.98,0.82,45.46,45.78,0.0,0.04,0.63,0.72
674,187.0,186.0,219.0,221.0,202.0,202.0,826.0,109.0,42.06,24.79,0.89,130.08,128.13,0.0,0.03,0.66,0.74
84,188.0,334.0,197.0,344.0,193.0,339.0,86.0,110.0,11.62,9.23,-1.08,31.56,32.6,0.0,0.05,0.65,0.73
175,189.0,300.0,204.0,315.0,197.0,308.0,182.0,111.0,17.32,13.28,-0.68,48.87,49.01,0.01,0.05,0.65,0.74
74,190.0,213.0,200.0,220.0,195.0,216.0,77.0,112.0,11.48,8.29,0.14,30.49,31.58,0.01,0.06,0.65,0.74
124,194.0,112.0,208.0,124.0,201.0,118.0,137.0,113.0,13.77,11.85,-0.29,42.04,42.54,0.02,0.06,0.68,0.75
77,198.0,156.0,207.0,164.0,203.0,160.0,79.0,115.0,10.93,8.95,0.52,29.9,31.03,0.01,0.05,0.71,0.77
52,200.0,66.0,207.0,74.0,204.0,70.0,53.0,116.0,10.03,6.86,0.99,25.31,26.68,0.0,0.06,0.72,0.78
428,202.0,281.0,223.0,303.0,211.0,292.0,437.0,117.0,25.74,21.61,0.96,76.63,75.33,0.0,0.03,0.69,0.79
215,203.0,231.0,216.0,249.0,209.0,240.0,227.0,118.0,20.18,13.68,1.44,54.38,54.24,0.0,0.04,0.67,0.74
56,208.0,32.0,216.0,40.0,212.0,36.0,60.0,119.0,9.14,8.04,-0.45,26.14,27.47,0.05,0.1,0.68,0.77
75,209.0,61.0,218.0,70.0,214.0,66.0,79.0,120.0,11.45,8.39,0.88,30.14,31.26,0.0,0.06,0.66,0.73
323,217.0,121.0,232.0,146.0,225.0,133.0,338.0,122.0,27.1,15.26,1.3,69.46,68.53,0.0,0.04,0.67,0.76
83,220.0,19.0,230.0,27.0,225.0,23.0,87.0,125.0,11.45,9.36,-0.17,31.9,32.92,0.0,0.07,0.69,0.75
393,222.0,314.0,248.0,332.0,236.0,324.0,415.0,127.0,28.38,18.15,-0.29,76.87,75.56,0.0,0.05,0.64,0.72
232,227.0,148.0,245.0,161.0,236.0,154.0,241.0,129.0,19.9,15.08,-0.15,56.14,55.91,0.0,0.04,0.72,0.79
399,228.0,107.0,250.0,130.0,239.0,119.0,415.0,130.0,27.44,18.77,0.95,75.36,74.12,0.01,0.04,0.66,0.74
78,230.0,91.0,240.0,99.0,235.0,95.0,81.0,131.0,11.27,8.93,0.18,30.73,31.81,0.0,0.07,0.67,0.74
65,231.0,344.0,240.0,352.0,236.0,348.0,71.0,132.0,10.49,7.93,0.5,28.73,29.92,0.0,0.07,0.71,0.78
105,240.0,44.0,253.0,53.0,246.0,49.0,110.0,134.0,14.8,9.18,-0.54,38.14,38.84,0.0,0.06,0.73,0.79
80,240.0,237.0,248.0,247.0,244.0,242.0,84.0,135.0,11.12,9.33,1.44,31.31,32.37,0.05,0.07,0.64,0.71
639,243.0,174.0,266.0,205.0,254.0,190.0,653.0,136.0,33.01,24.88,-1.57,94.77,92.53,0.01,0.04,0.67,0.76
51,244.0,62.0,252.0,69.0,248.0,65.0,55.0,137.0,9.71,6.75,0.61,25.31,26.68,0.0,0.06,0.7,0.78
84,244.0,339.0,253.0,348.0,249.0,344.0,88.0,138.0,10.83,9.96,0.88,31.9,32.92,0.0,0.05,0.7,0.77
638,245.0,97.0,275.0,122.0,261.0,109.0,663.0,139.0,34.68,23.73,0.53,96.53,94.19,0.0,0.03,0.66,0.75
416,246.0,149.0,268.0,171.0,257.0,161.0,435.0,140.0,24.39,21.99,0.9,75.11,73.89,0.01,0.04,0.65,0.74
135,246.0,300.0,262.0,310.0,255.0,304.0,143.0,141.0,16.31,10.86,0.18,43.8,44.21,0.0,0.04,0.66,0.74
121,251.0,208.0,266.0,218.0,259.0,212.0,130.0,142.0,15.71,10.15,-0.2,41.8,42.31,0.01,0.03,0.62,0.7
95,251.0,324.0,261.0,334.0,256.0,329.0,101.0,143.0,11.14,10.91,-0.3,34.14,35.05,0.01,0.06,0.66,0.76
60,252.0,83.0,260.0,91.0,256.0,87.0,67.0,144.0,10.26,7.53,0.96,27.9,29.13,0.0,0.07,0.66,0.74
114,258.0,7.0,268.0,22.0,263.0,13.0,121.0,145.0,16.33,9.19,1.22,41.21,41.75,0.01,0.07,0.73,0.8
80,260.0,378.0,270.0,387.0,265.0,382.0,87.0,146.0,11.08,9.19,0.23,31.56,32.6,0.0,0.04,0.73,0.81
81,264.0,339.0,273.0,349.0,268.0,344.0,87.0,148.0,11.98,8.8,-1.0,32.73,33.71,0.02,0.08,0.69,0.77
149,270.0,127.0,283.0,139.0,277.0,133.0,158.0,151.0,14.44,13.32,0.44,44.38,44.76,0.0,0.06,0.69,0.77
69,271.0,32.0,279.0,42.0,275.0,36.0,75.0,153.0,11.16,8.19,-1.33,30.73,31.81,0.0,0.07,0.71,0.79
71,272.0,353.0,280.0,362.0,276.0,357.0,75.0,156.0,11.16,8.13,-0.97,29.31,30.47,0.04,0.1,0.7,0.77
77,280.0,73.0,287.0,84.0,284.0,78.0,83.0,158.0,12.88,7.68,1.4,31.9,32.92,0.0,0.07,0.62,0.7
100,282.0,49.0,297.0,56.0,290.0,53.0,108.0,159.0,17.29,7.62,-0.12,39.31,39.95,0.02,0.05,0.72,0.81
82,282.0,227.0,292.0,236.0,286.0,232.0,85.0,160.0,11.6,9.04,0.73,31.56,32.6,0.06,0.11,0.7,0.78
136,283.0,29.0,297.0,42.0,290.0,36.0,150.0,161.0,14.87,12.67,1.12,45.8,46.1,0.01,0.07,0.66,0.74
75,283.0,163.0,292.0,172.0,287.0,168.0,82.0,162.0,10.39,9.29,0.2,30.73,31.81,0.0,0.05,0.72,0.77
70,285.0,57.0,295.0,64.0,290.0,61.0,73.0,163.0,11.19,7.93,-0.13,28.73,29.92,0.0,0.05,0.74,0.82
106,289.0,196.0,299.0,208.0,294.0,202.0,111.0,166.0,14.65,9.24,-1.04,36.97,37.73,0.05,0.09,0.7,0.79
54,291.0,135.0,299.0,143.0,295.0,139.0,57.0,167.0,10.25,6.72,0.77,25.56,26.91,0.0,0.07,0.73,0.8
58,293.0,369.0,303.0,375.0,298.0,372.0,65.0,170.0,10.76,6.89,0.05,28.14,29.36,0.0,0.06,0.66,0.74
237,297.0,23.0,317.0,39.0,307.0,31.0,249.0,171.0,21.59,14.11,0.43,57.53,57.61,0.0,0.06,0.63,0.71
87,297.0,106.0,306.0,117.0,301.0,112.0,91.0,172.0,13.13,8.54,1.13,33.56,34.49,0.03,0.07,0.65,0.69
141,301.0,186.0,315.0,198.0,309.0,193.0,145.0,174.0,16.47,11.16,-0.56,43.21,43.65,0.01,0.06,0.64,0.71
119,302.0,143.0,313.0,155.0,308.0,148.0,124.0,175.0,13.63,11.36,0.99,38.97,39.63,0.01,0.05,0.64,0.7
116,328.0,104.0,342.0,113.0,335.0,108.0,122.0,180.0,14.34,10.61,-0.04,39.56,40.18,0.01,0.05,0.7,0.77
61,329.0,124.0,338.0,131.0,334.0,127.0,64.0,181.0,10.13,7.68,0.3,26.73,28.02,0.02,0.08,0.62,0.69
95,330.0,211.0,341.0,220.0,335.0,216.0,99.0,182.0,12.89,9.46,-0.51,34.73,35.61,0.01,0.07,0.65,0.73
100,335.0,362.0,346.0,374.0,341.0,367.0,106.0,185.0,13.62,9.65,0.87,36.63,37.41,0.04,0.09,0.72,0.8
101,339.0,31.0,348.0,43.0,344.0,38.0,108.0,186.0,13.64,9.7,-1.27,37.56,38.29,0.0,0.04,0.67,0.76
79,342.0,13.0,353.0,21.0,348.0,17.0,84.0,187.0,12.32,8.26,0.12,32.14,33.15,0.0,0.03,0.65,0.73
52,344.0,111.0,350.0,119.0,347.0,115.0,55.0,188.0,9.61,6.97,1.27,25.07,26.45,0.0,0.05,0.71,0.79
84,344.0,302.0,355.0,311.0,349.0,307.0,90.0,189.0,12.95,8.29,-0.61,32.97,33.94,0.0,0.06,0.79,0.85
65,350.0,70.0,359.0,79.0,354.0,74.0,68.0,191.0,11.02,7.59,0.79,28.38,29.59,0.0,0.04,0.7,0.78
115,355.0,98.0,368.0,108.0,362.0,103.0,120.0,192.0,13.81,10.64,-0.2,37.8,38.52,0.0,0.05,0.73,0.81
54,358.0,290.0,367.0,296.0,363.0,293.0,56.0,194.0,10.06,6.89,-0.02,25.31,26.68,0.04,0.07,0.71,0.77
56,358.0,336.0,370.0,342.0,364.0,339.0,62.0,195.0,12.08,5.96,0.14,28.97,30.15,0.02,0.07,0.76,0.83
54,363.0,306.0,370.0,314.0,366.0,310.0,56.0,196.0,9.62,7.12,0.96,24.73,26.13,0.02,0.07,0.73,0.8
66,372.0,39.0,381.0,47.0,377.0,43.0,73.0,201.0,10.2,8.24,0.68,28.73,29.92,0.0,0.03,0.62,0.71
359,375.0,82.0,397.0,104.0,387.0,93.0,376.0,204.0,26.48,17.54,-0.85,73.84,72.69,0.0,0.03,0.7,0.79
93,375.0,291.0,388.0,299.0,381.0,295.0,98.0,205.0,13.82,8.9,-0.18,36.14,36.95,0.02,0.08,0.71,0.8
260,376.0,62.0,397.0,79.0,387.0,70.0,273.0,206.0,23.58,14.22,0.65,61.36,60.85,0.0,0.03,0.71,0.81
123,377.0,303.0,390.0,314.0,383.0,308.0,132.0,207.0,13.46,11.82,0.43,40.38,40.97,0.0,0.05,0.73,0.81
157,381.0,109.0,393.0,122.0,387.0,115.0,163.0,209.0,14.92,13.43,-1.28,44.14,44.53,0.0,0.04,0.75,0.83
130,381.0,346.0,393.0,360.0,387.0,353.0,139.0,210.0,14.63,11.48,-1.31,42.04,42.54,0.0,0.04,0.74,0.8
77,383.0,18.0,393.0,26.0,388.0,22.0,82.0,211.0,11.11,8.87,-0.11,30.73,31.81,0.0,0.04,0.64,0.73
