area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
109,1.0,383.0,14.0,392.0,7.0,388.0,116.0,1.0,14.07,10.19,0.16,38.73,39.4,0.0,0.09,0.9,0.9
256,6.0,200.0,20.0,221.0,13.0,211.0,268.0,2.0,23.05,14.29,-1.17,61.21,60.72,0.0,0.08,0.89,0.9
104,6.0,304.0,17.0,315.0,12.0,309.0,115.0,3.0,12.88,10.53,0.76,38.38,39.07,0.02,0.1,0.88,0.87
268,10.0,246.0,34.0,261.0,21.0,253.0,285.0,4.0,27.32,13.05,-0.39,66.87,66.08,0.01,0.07,0.9,0.91
55,12.0,367.0,19.0,375.0,15.0,371.0,56.0,5.0,9.66,7.2,-1.01,24.73,26.13,0.0,0.09,0.84,0.87
97,14.0,234.0,24.0,243.0,19.0,239.0,100.0,6.0,12.38,10.19,-0.5,35.07,35.93,0.0,0.07,0.92,0.93
288,16.0,349.0,34.0,367.0,25.0,358.0,303.0,7.0,20.43,18.06,0.75,62.04,61.5,0.0,0.07,0.9,0.91
65,17.0,182.0,28.0,188.0,23.0,185.0,71.0,8.0,12.29,6.9,-0.21,30.49,31.58,0.0,0.11,0.91,0.91
113,18.0,135.0,27.0,148.0,22.0,142.0,117.0,9.0,15.25,9.47,1.27,38.14,38.84,0.0,0.13,0.74,0.78
342,18.0,162.0,48.0,178.0,32.0,170.0,364.0,10.0,31.08,14.43,-0.35,77.36,76.02,0.0,0.09,0.92,0.92
148,19.0,78.0,35.0,89.0,27.0,83.0,156.0,11.0,18.0,10.79,-0.4,46.38,46.66,0.0,0.16,0.91,0.92
103,20.0,378.0,31.0,389.0,26.0,383.0,108.0,12.0,13.63,9.73,-0.85,36.38,37.18,0.0,0.06,0.89,0.9
233,24.0,198.0,43.0,213.0,33.0,206.0,245.0,13.0,18.9,15.94,0.16,56.28,56.04,0.0,0.07,0.93,0.94
106,25.0,321.0,35.0,335.0,31.0,329.0,119.0,14.0,15.15,9.57,1.51,41.14,42.08,0.0,0.09,0.73,0.75
105,29.0,179.0,40.0,191.0,34.0,186.0,117.0,15.0,13.32,10.59,-1.35,39.21,39.86,0.0,0.14,0.91,0.92
177,31.0,257.0,42.0,274.0,36.0,266.0,191.0,16.0,20.32,11.59,1.31,52.97,52.9,0.01,0.08,0.86,0.88
136,31.0,342.0,46.0,354.0,39.0,348.0,146.0,17.0,17.16,10.23,0.53,44.04,44.44,0.0,0.07,0.91,0.93
