"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
3.0,36.429,360.619,32.0,356.0,41.0,366.0,84,84.0,11.973,9.027,-0.934,32.142,1.022,1.0,0.0,0.976,0.66,0.687,0.688,0.068,0.612,0.683,0.094,0.082,0.182,0.094
4.0,55.408,262.395,51.0,257.0,61.0,267.0,76,76.0,12.849,7.871,0.693,32.971,0.879,1.0,0.0,0.882,0.656,0.695,0.713,0.099,0.591,0.654,0.171,0.133,0.204,0.163
6.0,58.65,47.567,54.0,44.0,62.0,52.0,60,60.0,10.208,7.688,0.848,26.728,1.055,1.0,0.0,0.867,0.649,0.676,0.68,0.073,0.603,0.67,0.175,0.14,0.151,0.118
8.0,67.585,6.558,58.0,1.0,77.0,12.0,147,147.0,20.515,9.234,-0.33,49.456,0.755,1.0,0.0,0.878,0.668,0.683,0.689,0.048,0.622,0.699,0.192,0.161,0.117,0.087
9.0,87.056,254.438,81.0,251.0,94.0,259.0,89,91.0,14.777,7.817,-0.192,36.142,0.856,1.022,0.0,0.944,0.668,0.692,0.709,0.098,0.603,0.667,0.151,0.126,0.194,0.145
10.0,102.853,63.707,82.0,41.0,120.0,85.0,1278,1295.0,44.562,37.609,1.165,139.983,0.82,1.013,0.0,0.987,0.694,0.712,0.715,0.035,0.684,0.74,0.073,0.065,0.258,0.044
11.0,90.879,118.357,82.0,112.0,100.0,125.0,199,199.0,19.337,13.136,-0.335,52.042,0.923,1.0,0.0,0.99,0.722,0.745,0.746,0.048,0.708,0.771,0.082,0.073,0.156,0.065
13.0,113.524,227.659,109.0,223.0,117.0,234.0,82,82.0,12.012,8.937,1.219,32.314,0.987,1.0,0.0,0.988,0.744,0.783,0.77,0.078,0.727,0.802,0.073,0.064,0.268,0.085
15.0,118.584,141.718,113.0,135.0,125.0,148.0,149,149.0,14.398,13.294,-1.53,42.971,1.014,1.0,0.0,0.973,0.66,0.68,0.682,0.054,0.632,0.69,0.091,0.076,0.165,0.071
17.0,134.743,331.144,122.0,313.0,149.0,349.0,813,817.0,38.331,27.32,1.42,108.426,0.869,1.005,0.0,0.995,0.773,0.797,0.796,0.021,0.77,0.834,0.057,0.049,0.097,0.025
18.0,131.006,19.643,126.0,12.0,137.0,29.0,154,154.0,18.31,11.117,1.544,47.799,0.847,1.0,0.0,0.981,0.712,0.728,0.733,0.066,0.677,0.738,0.091,0.087,0.2,0.098
19.0,135.241,116.889,129.0,112.0,142.0,122.0,108,108.0,14.638,9.507,-0.492,37.799,0.95,1.0,0.0,1.0,0.739,0.754,0.748,0.043,0.728,0.797,0.051,0.044,0.101,0.05
20.0,133.622,231.183,129.0,227.0,138.0,236.0,82,82.0,10.549,10.007,-0.724,31.314,1.051,1.0,0.0,0.927,0.643,0.677,0.691,0.073,0.609,0.665,0.109,0.089,0.186,0.103
21.0,136.661,136.357,133.0,132.0,140.0,141.0,56,56.0,9.278,7.821,1.254,26.728,0.985,1.0,0.0,0.911,0.664,0.703,0.727,0.073,0.608,0.683,0.163,0.125,0.18,0.133
22.0,143.852,63.601,136.0,54.0,152.0,73.0,243,243.0,19.088,16.405,-1.253,57.113,0.936,1.0,0.0,0.992,0.752,0.769,0.767,0.043,0.734,0.809,0.062,0.058,0.156,0.043
23.0,140.525,371.059,136.0,365.0,145.0,378.0,118,118.0,15.161,10.09,1.446,39.899,0.931,1.0,0.0,1.0,0.757,0.777,0.788,0.022,0.755,0.814,0.038,0.036,0.065,0.035
24.0,148.562,94.448,143.0,89.0,154.0,100.0,105,105.0,12.69,10.554,-1.086,35.799,1.03,1.0,0.0,1.0,0.714,0.732,0.73,0.057,0.694,0.76,0.056,0.053,0.121,0.058
25.0,158.384,360.795,153.0,355.0,164.0,366.0,112,112.0,14.354,9.931,0.772,37.556,0.998,1.0,0.0,1.0,0.742,0.764,0.769,0.026,0.733,0.81,0.048,0.042,0.056,0.036
26.0,161.346,251.567,157.0,245.0,166.0,258.0,104,104.0,14.298,9.267,1.196,36.385,0.987,1.0,0.0,0.846,0.626,0.658,0.668,0.079,0.575,0.638,0.201,0.151,0.144,0.139
27.0,176.329,53.244,169.0,44.0,185.0,62.0,213,213.0,19.236,14.4,0.942,53.941,0.92,1.0,0.0,0.995,0.714,0.738,0.736,0.031,0.706,0.772,0.052,0.049,0.055,0.033
29.0,181.795,298.777,177.0,293.0,186.0,305.0,112,112.0,13.885,10.352,1.309,37.314,1.011,1.0,0.0,0.893,0.671,0.695,0.698,0.071,0.62,0.683,0.194,0.16,0.146,0.126
30.0,183.541,337.721,177.0,332.0,189.0,344.0,122,123.0,13.657,11.76,-0.505,40.971,0.913,1.008,0.0,1.0,0.733,0.756,0.759,0.038,0.716,0.79,0.068,0.057,0.107,0.049
32.0,191.64,373.708,180.0,365.0,200.0,383.0,267,267.0,20.439,17.587,-0.251,63.113,0.842,1.0,0.0,1.0,0.726,0.747,0.75,0.031,0.715,0.781,0.044,0.04,0.102,0.033
35.0,194.515,301.49,189.0,293.0,201.0,309.0,198,198.0,18.487,14.001,1.385,51.314,0.945,1.0,0.0,1.0,0.752,0.778,0.775,0.036,0.746,0.819,0.037,0.025,0.194,0.032
