"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,30.176,197.077,3.0,181.0,56.0,213.0,1263,1285.0,52.936,30.741,-0.031,143.882,0.767,0.983,1.0,0.0,0.803,0.816,0.812,0.564,0.842,0.866,0.0,0.043,0.0,0.0
3.0,14.977,78.864,10.0,74.0,19.0,85.0,88,88.0,13.018,8.803,1.067,34.728,0.917,1.0,1.0,0.0,0.682,0.69,0.686,0.559,0.722,0.726,0.0,0.093,0.0,0.0
4.0,25.923,273.115,10.0,263.0,41.0,285.0,556,556.0,31.53,22.978,-0.243,89.598,0.87,1.0,1.0,0.0,0.784,0.8,0.797,0.484,0.824,0.853,0.0,0.032,0.0,0.0
5.0,20.156,112.32,14.0,106.0,27.0,118.0,128,131.0,13.551,12.266,-0.028,42.385,0.895,0.977,1.0,0.0,0.736,0.743,0.739,0.53,0.774,0.793,0.0,0.079,0.0,0.0
7.0,47.229,21.329,32.0,6.0,61.0,35.0,645,657.0,32.016,26.261,0.995,98.426,0.837,0.982,1.0,0.0,0.73,0.74,0.732,0.488,0.757,0.78,0.0,0.116,0.0,0.0
8.0,43.212,42.636,38.0,40.0,49.0,45.0,66,66.0,13.023,6.508,0.033,29.657,0.943,1.0,1.0,0.0,0.698,0.706,0.703,0.559,0.733,0.747,0.0,0.095,0.0,0.0
9.0,44.831,319.153,38.0,310.0,53.0,328.0,236,236.0,18.662,16.473,1.45,56.042,0.944,1.0,1.0,0.0,0.813,0.837,0.833,0.435,0.834,0.873,0.0,0.022,0.0,0.0
10.0,45.316,368.702,41.0,365.0,50.0,373.0,57,57.0,10.273,7.46,-0.478,28.142,0.904,1.0,0.0,1.0,0.803,0.826,0.826,0.371,0.819,0.859,0.029,0.027,0.039,0.02
11.0,51.621,61.0,47.0,58.0,56.0,64.0,58,58.0,10.677,6.937,0.384,26.485,1.039,1.0,1.0,0.0,0.736,0.744,0.74,0.522,0.761,0.788,0.0,0.077,0.0,0.0
12.0,54.243,111.613,48.0,104.0,60.0,120.0,173,173.0,17.274,12.904,-1.413,48.385,0.929,1.0,1.0,0.0,0.709,0.717,0.713,0.553,0.754,0.765,0.0,0.084,0.0,0.0
