"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,25.644,211.373,16.0,203.0,33.0,219.0,225,225.0,20.522,14.3,-0.878,56.627,0.882,1.0,0.0,1.0,0.816,0.812,0.843,0.088,0.865,0.879,0.056,0.045,0.088,0.036
2.0,35.519,149.519,26.0,143.0,44.0,157.0,181,181.0,19.803,11.849,0.602,51.698,0.851,1.0,0.0,1.0,0.801,0.805,0.826,0.094,0.849,0.872,0.028,0.033,0.061,0.015
3.0,39.969,177.682,29.0,169.0,50.0,186.0,318,322.0,23.653,17.431,-0.284,66.627,0.9,0.988,0.0,0.997,0.778,0.778,0.812,0.109,0.814,0.845,0.054,0.051,0.056,0.031
4.0,37.796,109.254,31.0,101.0,45.0,118.0,181,184.0,15.966,14.566,-1.486,48.284,0.976,0.984,0.116,0.884,0.802,0.794,0.816,0.18,0.851,0.864,0.262,0.049,0.106,0.088
5.0,45.198,51.679,33.0,36.0,61.0,68.0,682,697.0,32.054,28.261,-1.339,100.326,0.851,0.978,0.243,0.757,0.815,0.825,0.859,0.303,0.839,0.88,0.362,0.037,0.054,0.06
6.0,41.932,90.205,35.0,84.0,48.0,97.0,146,146.0,15.496,12.172,-0.593,43.799,0.956,1.0,0.76,0.24,0.732,0.746,0.785,0.413,0.753,0.793,0.309,0.038,0.078,0.068
7.0,48.487,205.528,37.0,196.0,60.0,215.0,386,387.0,27.622,18.03,-0.523,75.213,0.857,0.997,0.0,1.0,0.778,0.777,0.809,0.104,0.825,0.842,0.047,0.044,0.071,0.025
8.0,44.478,162.644,38.0,159.0,51.0,166.0,90,90.0,14.208,8.127,-0.251,34.728,0.938,1.0,0.0,1.0,0.767,0.772,0.802,0.07,0.809,0.838,0.041,0.04,0.086,0.039
9.0,55.588,30.777,50.0,25.0,63.0,37.0,148,148.0,14.337,13.621,-0.329,44.142,0.954,1.0,0.0,1.0,0.826,0.826,0.857,0.172,0.855,0.884,0.042,0.035,0.059,0.034
10.0,53.491,110.164,50.0,107.0,58.0,114.0,55,55.0,8.778,8.044,-0.482,25.314,1.079,1.0,0.455,0.545,0.745,0.761,0.801,0.401,0.774,0.811,0.386,0.039,0.137,0.206
11.0,63.176,7.4,58.0,3.0,70.0,12.0,85,85.0,13.042,8.492,-0.16,34.971,0.873,1.0,0.0,1.0,0.848,0.86,0.888,0.168,0.872,0.901,0.035,0.029,0.084,0.034
12.0,65.277,20.604,58.0,17.0,72.0,25.0,101,101.0,15.647,8.301,0.221,37.556,0.9,1.0,0.0,1.0,0.813,0.824,0.852,0.163,0.85,0.883,0.037,0.033,0.064,0.03
