area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
141,7.0,202.0,22.0,214.0,14.0,208.0,150.0,1.0,16.27,11.94,0.05,45.21,45.55,0.01,0.04,0.82,0.89
203,8.0,183.0,21.0,200.0,15.0,192.0,214.0,2.0,18.84,13.9,-1.55,53.21,53.13,0.0,0.04,0.79,0.86
260,8.0,227.0,27.0,241.0,17.0,234.0,268.0,3.0,20.77,16.07,-0.07,58.97,58.59,0.0,0.02,0.84,0.89
171,10.0,331.0,22.0,348.0,16.0,339.0,183.0,4.0,18.38,11.94,1.27,48.63,48.78,0.0,0.02,0.83,0.91
979,10.0,354.0,43.0,388.0,27.0,371.0,1019.0,5.0,36.94,34.24,0.83,118.18,114.73,0.0,0.01,0.84,0.91
101,19.0,263.0,30.0,272.0,25.0,267.0,102.0,6.0,13.43,9.64,-0.56,35.31,36.16,0.0,0.03,0.84,0.9
77,21.0,27.0,30.0,37.0,26.0,32.0,79.0,7.0,11.08,8.98,0.9,30.38,31.49,0.0,0.05,0.78,0.85
244,22.0,110.0,36.0,130.0,29.0,120.0,255.0,8.0,23.23,13.46,-1.2,59.21,58.82,0.0,0.01,0.83,0.9
98,22.0,297.0,32.0,307.0,27.0,302.0,101.0,9.0,11.9,10.56,0.67,34.14,35.05,0.0,0.03,0.84,0.91
262,26.0,242.0,50.0,255.0,37.0,249.0,275.0,10.0,25.06,13.54,-0.07,62.87,62.29,0.0,0.01,0.84,0.9
92,28.0,327.0,40.0,335.0,34.0,330.0,100.0,11.0,14.11,8.46,-0.25,36.49,38.06,0.0,0.03,0.83,0.89
84,34.0,337.0,44.0,347.0,39.0,342.0,90.0,12.0,13.13,8.31,0.78,33.56,34.49,0.0,0.02,0.83,0.9
126,36.0,120.0,48.0,132.0,42.0,126.0,134.0,13.0,13.56,12.02,0.61,40.38,40.97,0.0,0.01,0.84,0.9
144,40.0,271.0,53.0,283.0,46.0,277.0,148.0,14.0,14.14,13.17,0.24,42.38,42.86,0.0,0.03,0.84,0.89
2580,43.0,194.0,114.0,246.0,76.0,220.0,2718.0,15.0,71.11,47.14,-0.45,203.24,195.36,0.0,0.02,0.8,0.87
1675,44.0,294.0,95.0,337.0,70.0,316.0,1737.0,16.0,52.43,41.08,-0.13,157.54,152.04,0.0,0.01,0.83,0.89
475,51.0,258.0,76.0,285.0,64.0,269.0,496.0,17.0,29.24,22.12,1.03,85.84,84.06,0.0,0.02,0.83,0.9
819,55.0,356.0,89.0,389.0,71.0,373.0,843.0,18.0,36.39,29.13,-0.78,107.64,104.73,0.0,0.01,0.84,0.9
122,63.0,91.0,75.0,101.0,69.0,96.0,127.0,19.0,13.66,11.54,0.14,39.31,39.95,0.0,0.01,0.82,0.88
125,68.0,158.0,81.0,169.0,74.0,163.0,133.0,20.0,14.5,11.33,0.27,40.97,41.52,0.0,0.04,0.8,0.87
76,76.0,337.0,85.0,347.0,80.0,341.0,82.0,21.0,12.38,7.94,-0.86,32.14,33.15,0.0,0.03,0.8,0.88
688,79.0,246.0,109.0,277.0,93.0,261.0,719.0,22.0,30.52,29.3,1.54,99.74,97.24,0.0,0.02,0.82,0.89
401,80.0,94.0,98.0,121.0,89.0,106.0,423.0,23.0,28.15,18.57,1.38,77.7,76.34,0.0,0.01,0.83,0.89
117,90.0,184.0,105.0,193.0,98.0,189.0,126.0,24.0,16.09,9.4,-0.08,40.97,41.52,0.0,0.02,0.8,0.87
82,90.0,342.0,101.0,350.0,95.0,345.0,87.0,25.0,12.35,8.58,0.11,32.73,33.71,0.0,0.04,0.81,0.88
85,92.0,136.0,101.0,146.0,96.0,141.0,91.0,26.0,11.93,9.18,-0.8,32.73,33.71,0.0,0.02,0.84,0.89
