"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,24.252,122.024,1.0,77.0,50.0,170.0,3516,3617.0,95.516,47.866,-1.387,252.167,0.695,1.029,0.0,0.994,0.751,0.789,0.803,0.02,0.725,0.822,0.038,0.034,0.182,0.02
2.0,8.569,39.652,2.0,31.0,15.0,48.0,204,204.0,18.743,13.911,1.266,51.799,0.955,1.0,0.0,0.98,0.743,0.78,0.796,0.054,0.698,0.802,0.054,0.049,0.174,0.053
3.0,6.767,244.438,3.0,239.0,11.0,249.0,73,73.0,10.621,8.911,1.502,30.728,0.972,1.0,0.0,0.959,0.715,0.761,0.773,0.073,0.686,0.755,0.091,0.073,0.184,0.108
4.0,58.29,347.49,5.0,299.0,116.0,390.0,7055,7284.0,113.746,81.427,0.641,338.978,0.772,1.032,0.0,0.997,0.76,0.797,0.812,0.016,0.746,0.831,0.033,0.029,0.146,0.013
5.0,14.255,79.073,8.0,74.0,21.0,85.0,110,110.0,15.858,8.874,-0.663,39.213,0.899,1.0,0.0,0.991,0.695,0.731,0.748,0.033,0.656,0.741,0.067,0.062,0.08,0.045
6.0,17.639,27.035,11.0,20.0,25.0,35.0,144,147.0,18.483,10.643,0.815,48.042,0.784,1.021,0.0,0.979,0.735,0.783,0.798,0.058,0.698,0.781,0.075,0.062,0.215,0.063
7.0,23.945,297.648,18.0,294.0,32.0,302.0,91,92.0,15.876,7.777,-0.132,38.142,0.786,1.011,0.0,1.0,0.752,0.787,0.797,0.046,0.724,0.804,0.031,0.028,0.169,0.035
8.0,52.0,176.155,22.0,151.0,82.0,203.0,2110,2182.0,69.19,39.214,-0.597,187.095,0.757,1.034,0.0,0.994,0.751,0.79,0.801,0.025,0.725,0.818,0.045,0.04,0.206,0.024
10.0,88.563,237.503,30.0,205.0,137.0,276.0,5447,6037.0,118.913,62.035,0.285,330.693,0.626,1.108,0.0,0.998,0.759,0.797,0.81,0.016,0.739,0.83,0.032,0.028,0.185,0.016
11.0,34.275,56.725,31.0,51.0,38.0,62.0,69,69.0,13.896,6.366,1.181,31.899,0.852,1.0,0.0,1.0,0.74,0.785,0.803,0.048,0.699,0.787,0.024,0.031,0.152,0.044
12.0,38.71,272.177,35.0,268.0,42.0,277.0,62,62.0,9.938,7.953,1.25,26.728,1.091,1.0,0.0,1.0,0.742,0.78,0.793,0.043,0.717,0.8,0.031,0.029,0.101,0.033
13.0,43.288,39.915,39.0,35.0,47.0,45.0,59,59.0,13.407,5.653,0.882,29.556,0.849,1.0,0.0,0.932,0.71,0.751,0.795,0.11,0.638,0.739,0.156,0.112,0.257,0.162
16.0,60.266,143.0,56.0,138.0,64.0,148.0,64,64.0,12.795,6.435,1.051,30.142,0.885,1.0,0.0,0.953,0.716,0.757,0.781,0.077,0.66,0.755,0.106,0.09,0.177,0.106
17.0,61.773,288.189,57.0,282.0,69.0,295.0,132,132.0,13.738,13.259,-1.113,42.971,0.898,1.0,0.0,1.0,0.744,0.779,0.799,0.024,0.712,0.807,0.036,0.032,0.064,0.024
18.0,75.412,292.49,71.0,289.0,79.0,296.0,51,51.0,8.495,7.661,-0.198,24.142,1.1,1.0,0.0,1.0,0.762,0.798,0.817,0.036,0.723,0.808,0.029,0.027,0.097,0.038
19.0,86.119,146.978,78.0,141.0,96.0,154.0,185,185.0,20.902,11.607,-0.48,52.042,0.858,1.0,0.0,0.989,0.735,0.773,0.787,0.047,0.702,0.787,0.055,0.05,0.221,0.055
20.0,137.262,178.12,81.0,131.0,180.0,221.0,5484,5717.0,90.659,82.677,0.085,307.706,0.728,1.042,0.0,0.994,0.758,0.8,0.816,0.018,0.73,0.829,0.039,0.035,0.212,0.018
21.0,89.732,288.747,83.0,281.0,97.0,298.0,194,195.0,19.974,12.516,-0.974,52.284,0.892,1.005,0.0,1.0,0.76,0.796,0.813,0.036,0.739,0.824,0.035,0.032,0.105,0.027
22.0,87.671,309.671,84.0,303.0,90.0,318.0,79,79.0,16.777,6.255,1.391,36.728,0.736,1.0,0.0,1.0,0.771,0.807,0.824,0.04,0.744,0.827,0.023,0.021,0.084,0.028
23.0,102.667,312.768,99.0,307.0,107.0,319.0,69,69.0,13.485,6.662,1.108,32.556,0.818,1.0,0.0,0.986,0.76,0.799,0.813,0.038,0.749,0.824,0.073,0.057,0.13,0.052
24.0,108.756,288.532,100.0,282.0,117.0,296.0,156,157.0,19.984,10.466,-0.649,49.698,0.794,1.006,0.0,1.0,0.769,0.806,0.819,0.036,0.749,0.832,0.03,0.027,0.131,0.027
25.0,105.552,338.537,102.0,334.0,109.0,343.0,67,67.0,10.287,8.236,-1.515,27.314,1.129,1.0,0.0,1.0,0.757,0.805,0.811,0.036,0.744,0.83,0.043,0.044,0.139,0.049
26.0,116.472,328.843,111.0,322.0,123.0,337.0,108,108.0,19.803,7.057,-0.953,44.042,0.7,1.0,0.0,1.0,0.743,0.784,0.789,0.048,0.731,0.804,0.034,0.03,0.145,0.039
27.0,177.626,311.956,122.0,263.0,228.0,361.0,7116,7596.0,105.46,88.596,-0.187,357.463,0.7,1.067,0.0,0.999,0.752,0.789,0.806,0.016,0.734,0.824,0.029,0.026,0.131,0.014
28.0,136.177,61.984,132.0,58.0,140.0,67.0,62,62.0,11.259,7.09,0.799,28.142,0.984,1.0,0.0,1.0,0.776,0.818,0.834,0.058,0.727,0.829,0.038,0.035,0.136,0.057
29.0,138.237,50.415,133.0,44.0,143.0,56.0,118,118.0,13.722,11.019,-1.203,38.142,1.019,1.0,0.0,1.0,0.755,0.794,0.808,0.031,0.72,0.808,0.036,0.035,0.081,0.033
30.0,152.921,84.642,141.0,76.0,164.0,94.0,341,344.0,24.609,18.315,-0.427,70.87,0.853,1.009,0.0,0.994,0.758,0.802,0.817,0.035,0.728,0.824,0.043,0.037,0.155,0.033
33.0,154.047,229.172,150.0,225.0,158.0,233.0,64,64.0,9.22,8.944,-0.944,27.314,1.078,1.0,0.0,0.906,0.703,0.759,0.779,0.104,0.637,0.73,0.131,0.107,0.235,0.158
34.0,157.214,381.466,150.0,377.0,163.0,387.0,103,103.0,14.897,9.007,0.624,38.385,0.878,1.0,0.0,1.0,0.724,0.751,0.775,0.029,0.708,0.788,0.035,0.031,0.031,0.017
35.0,160.271,65.607,152.0,60.0,167.0,71.0,140,140.0,16.683,10.88,0.476,44.385,0.893,1.0,0.0,1.0,0.755,0.796,0.813,0.029,0.716,0.814,0.037,0.032,0.085,0.027
36.0,179.633,128.698,152.0,106.0,205.0,155.0,1282,1327.0,71.96,23.359,0.679,163.581,0.602,1.035,0.0,1.0,0.767,0.81,0.825,0.018,0.735,0.834,0.022,0.02,0.103,0.014
37.0,175.819,249.194,158.0,238.0,195.0,260.0,480,491.0,38.188,16.371,0.373,96.326,0.65,1.023,0.0,0.996,0.761,0.799,0.813,0.036,0.739,0.819,0.043,0.038,0.152,0.034
38.0,167.216,95.537,162.0,87.0,172.0,104.0,134,134.0,19.689,8.873,1.303,46.385,0.783,1.0,0.0,0.963,0.742,0.785,0.801,0.036,0.698,0.8,0.098,0.075,0.108,0.046
39.0,173.444,81.254,170.0,77.0,177.0,85.0,63,63.0,9.545,8.414,1.471,26.485,1.129,1.0,0.0,1.0,0.763,0.806,0.822,0.021,0.733,0.816,0.02,0.019,0.045,0.017
40.0,180.802,150.594,172.0,143.0,193.0,156.0,187,187.0,23.591,10.962,0.526,58.627,0.684,1.0,0.0,0.995,0.761,0.805,0.818,0.037,0.721,0.818,0.055,0.044,0.104,0.044
41.0,178.861,235.722,173.0,233.0,185.0,239.0,79,79.0,13.618,7.527,-0.058,32.485,0.941,1.0,0.0,1.0,0.748,0.793,0.808,0.054,0.721,0.818,0.039,0.031,0.18,0.057
42.0,190.183,172.554,179.0,159.0,201.0,187.0,504,507.0,28.902,22.665,1.46,85.941,0.858,1.006,0.0,0.984,0.752,0.799,0.813,0.034,0.719,0.816,0.06,0.053,0.156,0.041
43.0,193.97,371.015,179.0,361.0,206.0,382.0,461,463.0,29.36,20.685,0.271,82.527,0.851,1.004,0.0,1.0,0.734,0.766,0.785,0.021,0.712,0.794,0.025,0.018,0.094,0.016
