area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
54,45.0,7.0,52.0,16.0,49.0,11.0,56.0,1.0,10.64,6.57,-1.02,26.14,27.47,0.02,0.09,0.61,0.66
338,45.0,312.0,63.0,334.0,54.0,323.0,355.0,2.0,24.79,17.42,1.06,69.11,68.2,0.05,0.12,0.75,0.81
58,47.0,91.0,54.0,99.0,50.0,95.0,62.0,3.0,9.48,7.76,1.06,25.9,27.24,0.17,0.15,0.63,0.7
51,56.0,116.0,63.0,124.0,60.0,120.0,56.0,4.0,9.34,7.18,1.17,25.31,26.68,0.06,0.12,0.66,0.74
111,60.0,192.0,73.0,203.0,66.0,197.0,118.0,5.0,15.84,9.13,-0.55,39.8,40.41,0.02,0.05,0.73,0.8
237,67.0,157.0,87.0,169.0,77.0,163.0,245.0,7.0,22.95,13.36,-0.15,58.14,57.8,0.0,0.05,0.71,0.78
82,68.0,8.0,79.0,16.0,74.0,12.0,86.0,8.0,12.53,8.4,0.33,32.14,33.15,0.01,0.06,0.56,0.63
171,79.0,185.0,92.0,201.0,86.0,193.0,183.0,9.0,18.2,12.27,1.2,49.8,49.89,0.01,0.04,0.71,0.78
256,106.0,132.0,124.0,149.0,115.0,140.0,261.0,10.0,21.25,15.47,0.6,57.7,57.38,0.0,0.04,0.73,0.8
302,108.0,153.0,125.0,174.0,116.0,163.0,316.0,11.0,21.92,17.74,-1.35,63.7,63.07,0.25,0.18,0.74,0.79
397,130.0,164.0,149.0,190.0,139.0,178.0,419.0,12.0,28.85,18.14,1.22,78.28,76.9,0.0,0.03,0.72,0.79
109,151.0,64.0,163.0,74.0,157.0,69.0,115.0,14.0,12.95,10.78,0.24,36.97,37.73,0.0,0.06,0.68,0.76
286,151.0,213.0,172.0,230.0,162.0,221.0,304.0,15.0,22.06,16.85,-0.25,63.7,63.07,0.0,0.02,0.76,0.82
65,164.0,117.0,172.0,125.0,168.0,121.0,69.0,17.0,9.83,8.47,1.02,27.9,29.13,0.0,0.07,0.63,0.68
187,168.0,36.0,185.0,49.0,177.0,43.0,196.0,18.0,17.69,13.83,-0.04,50.63,50.68,0.0,0.05,0.6,0.65
154,175.0,25.0,191.0,37.0,183.0,31.0,164.0,21.0,18.11,10.87,0.38,46.63,46.89,0.0,0.05,0.65,0.72
54,184.0,239.0,193.0,245.0,188.0,242.0,57.0,24.0,10.12,6.78,0.06,25.31,26.68,0.0,0.03,0.76,0.82
129,185.0,133.0,193.0,151.0,189.0,142.0,140.0,25.0,20.28,8.5,1.52,46.73,46.98,0.0,0.04,0.65,0.71
1163,187.0,95.0,231.0,133.0,210.0,114.0,1209.0,26.0,47.38,31.87,0.59,133.54,129.28,0.0,0.03,0.71,0.79
170,194.0,136.0,210.0,150.0,201.0,144.0,184.0,27.0,18.26,12.78,0.52,50.63,50.68,0.0,0.04,0.75,0.81
146,210.0,55.0,223.0,69.0,217.0,62.0,153.0,29.0,14.64,12.94,-1.53,43.46,43.88,0.0,0.05,0.7,0.76
70,213.0,79.0,222.0,88.0,218.0,83.0,76.0,31.0,11.09,8.18,0.81,30.14,31.26,0.0,0.05,0.64,0.71
109,214.0,23.0,227.0,34.0,221.0,29.0,116.0,32.0,13.22,10.97,0.2,38.63,39.3,0.03,0.06,0.58,0.65
186,215.0,206.0,229.0,221.0,222.0,214.0,195.0,33.0,16.31,14.64,-1.41,49.21,49.34,0.46,0.29,0.69,0.74
65,225.0,79.0,231.0,89.0,228.0,84.0,67.0,34.0,11.68,7.08,-1.46,28.49,29.69,0.0,0.06,0.69,0.74
185,237.0,300.0,251.0,315.0,244.0,306.0,190.0,35.0,15.89,15.16,-1.52,48.63,48.78,0.04,0.21,0.73,0.79
81,239.0,265.0,249.0,273.0,244.0,269.0,84.0,36.0,11.93,8.65,0.39,31.31,32.37,0.0,0.09,0.59,0.67
60,241.0,39.0,247.0,48.0,244.0,44.0,63.0,37.0,10.85,7.11,1.43,27.66,28.9,0.0,0.06,0.54,0.62
59,253.0,260.0,260.0,269.0,257.0,264.0,63.0,38.0,9.95,7.55,1.54,26.73,28.02,0.02,0.1,0.66,0.72
63,254.0,31.0,263.0,38.0,258.0,34.0,64.0,39.0,9.85,8.14,0.08,26.73,28.02,0.0,0.07,0.57,0.64
235,292.0,128.0,309.0,151.0,301.0,139.0,255.0,40.0,27.36,11.43,0.99,65.94,65.2,0.01,0.05,0.57,0.65
54,316.0,100.0,323.0,107.0,319.0,104.0,55.0,42.0,9.1,7.55,0.92,24.49,25.9,0.22,0.16,0.48,0.57
161,328.0,136.0,339.0,153.0,334.0,145.0,170.0,43.0,18.03,11.4,1.31,47.21,47.44,0.16,0.12,0.51,0.59
230,342.0,107.0,361.0,122.0,351.0,115.0,241.0,44.0,19.42,15.17,0.5,55.7,55.49,0.29,0.18,0.6,0.67
