"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,116.03,68.213,107.0,58.0,125.0,78.0,300,300.0,21.233,18.184,1.106,63.113,0.946,1.0,0.0,1.0,0.687,0.706,0.72,0.128,0.669,0.73,0.034,0.033,0.023,0.019
2.0,142.982,96.132,139.0,90.0,148.0,103.0,114,114.0,14.379,10.368,-1.336,38.728,0.955,1.0,0.0,1.0,0.707,0.728,0.743,0.109,0.682,0.749,0.012,0.011,0.019,0.012
3.0,178.141,167.269,172.0,160.0,185.0,175.0,156,156.0,16.327,12.398,1.021,46.627,0.902,1.0,0.192,0.801,0.681,0.704,0.72,0.301,0.687,0.724,0.287,0.05,0.109,0.114
4.0,193.407,178.967,188.0,174.0,198.0,184.0,91,91.0,11.883,9.885,-0.521,33.556,1.016,1.0,1.0,0.0,0.711,0.728,0.745,0.363,0.717,0.757,0.0,0.027,0.007,0.0
5.0,191.918,165.803,189.0,161.0,195.0,171.0,61,61.0,11.061,7.018,-1.517,27.314,1.027,1.0,0.066,0.934,0.713,0.735,0.748,0.316,0.71,0.765,0.188,0.032,0.158,0.09
7.0,216.712,145.301,208.0,134.0,225.0,155.0,319,319.0,23.128,17.931,-1.339,66.042,0.919,1.0,0.119,0.881,0.727,0.749,0.77,0.309,0.727,0.787,0.249,0.04,0.113,0.061
10.0,237.819,25.681,234.0,21.0,241.0,32.0,72,72.0,12.152,7.656,1.222,30.142,0.996,1.0,0.0,0.972,0.683,0.703,0.717,0.2,0.666,0.711,0.088,0.068,0.083,0.051
11.0,251.516,16.914,246.0,12.0,257.0,21.0,93,93.0,11.671,10.418,-0.125,34.142,1.003,1.0,0.0,1.0,0.77,0.79,0.797,0.212,0.761,0.836,0.032,0.031,0.127,0.028
13.0,283.08,369.356,278.0,365.0,288.0,374.0,87,87.0,11.098,10.027,0.102,32.142,1.058,1.0,1.0,0.0,0.629,0.659,0.672,0.103,0.571,0.645,0.0,0.082,0.0,0.0
14.0,315.763,47.615,307.0,39.0,326.0,56.0,283,284.0,20.356,17.973,-0.078,62.627,0.907,1.004,0.124,0.876,0.721,0.741,0.754,0.31,0.715,0.776,0.246,0.023,0.067,0.077
15.0,315.184,69.029,308.0,61.0,322.0,78.0,136,136.0,20.394,9.003,-0.88,49.113,0.709,1.0,0.279,0.721,0.691,0.71,0.731,0.296,0.679,0.732,0.323,0.023,0.151,0.132
17.0,337.946,320.392,333.0,316.0,342.0,324.0,74,74.0,10.497,9.227,-0.227,29.899,1.04,1.0,1.0,0.0,0.713,0.727,0.741,0.483,0.743,0.77,0.0,0.05,0.0,0.0
18.0,350.402,339.712,344.0,334.0,356.0,346.0,132,132.0,13.751,12.353,-0.912,41.556,0.961,1.0,1.0,0.0,0.681,0.711,0.721,0.108,0.641,0.71,0.0,0.056,0.0,0.0
19.0,375.704,237.222,351.0,210.0,398.0,264.0,1990,1990.0,58.585,43.439,-1.032,167.439,0.892,1.0,1.0,0.0,0.76,0.786,0.797,0.439,0.773,0.83,0.0,0.025,0.0,0.0
