"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,102.856,193.898,62.0,163.0,163.0,224.0,4143,4320.0,98.143,57.896,-0.098,282.066,0.654,0.959,0.316,0.667,0.745,0.765,0.767,0.255,0.746,0.806,0.361,0.073,0.121,0.073
2.0,129.525,108.905,65.0,58.0,202.0,149.0,6347,6837.0,145.037,58.783,0.521,364.032,0.602,0.928,0.244,0.751,0.761,0.78,0.785,0.257,0.763,0.826,0.337,0.055,0.118,0.073
3.0,81.244,132.323,66.0,125.0,95.0,140.0,291,293.0,32.022,12.102,0.304,75.113,0.648,0.993,0.0,0.979,0.737,0.755,0.757,0.038,0.71,0.793,0.065,0.065,0.118,0.051
4.0,116.772,153.429,97.0,137.0,141.0,170.0,513,517.0,56.348,12.006,0.609,121.439,0.437,0.992,0.384,0.602,0.729,0.748,0.753,0.304,0.736,0.788,0.376,0.071,0.119,0.084
5.0,130.028,37.642,125.0,32.0,138.0,42.0,106,106.0,13.755,10.467,0.442,39.142,0.869,1.0,1.0,0.0,0.733,0.739,0.739,0.507,0.765,0.792,0.0,0.031,0.0,0.0
6.0,171.974,41.046,129.0,14.0,216.0,67.0,1991,2187.0,95.791,28.251,0.482,224.35,0.497,0.91,0.611,0.384,0.755,0.772,0.775,0.317,0.765,0.822,0.378,0.051,0.048,0.048
7.0,147.011,71.76,139.0,64.0,155.0,79.0,175,175.0,19.815,11.576,0.708,51.456,0.831,1.0,1.0,0.0,0.771,0.781,0.778,0.502,0.818,0.842,0.0,0.026,0.0,0.0
8.0,161.889,64.328,140.0,47.0,184.0,79.0,552,558.0,54.351,13.274,0.658,119.196,0.488,0.989,0.638,0.361,0.748,0.766,0.772,0.381,0.765,0.815,0.367,0.056,0.053,0.095
9.0,197.359,153.295,193.0,149.0,202.0,158.0,78,78.0,11.807,8.432,-0.867,30.728,1.038,1.0,0.0,0.846,0.687,0.728,0.734,0.084,0.641,0.706,0.186,0.151,0.171,0.15
10.0,208.064,139.941,200.0,132.0,216.0,148.0,219,219.0,19.395,14.406,-0.907,54.042,0.942,1.0,0.0,0.977,0.76,0.79,0.791,0.064,0.732,0.809,0.071,0.068,0.231,0.065
11.0,205.236,101.473,202.0,97.0,209.0,106.0,55,55.0,10.229,6.865,0.988,26.142,1.011,1.0,0.0,1.0,0.755,0.773,0.783,0.11,0.721,0.797,0.049,0.042,0.23,0.07
12.0,231.431,63.525,225.0,56.0,240.0,70.0,160,160.0,16.594,12.647,0.74,46.87,0.915,1.0,0.0,1.0,0.764,0.779,0.782,0.187,0.756,0.834,0.03,0.032,0.099,0.03
13.0,230.969,90.223,227.0,82.0,236.0,98.0,130,130.0,17.853,9.379,-1.518,43.556,0.861,1.0,0.0,0.969,0.762,0.787,0.779,0.143,0.755,0.812,0.092,0.081,0.174,0.071
14.0,240.389,55.853,234.0,51.0,247.0,61.0,95,95.0,15.98,7.725,0.521,38.385,0.81,1.0,0.0,1.0,0.764,0.784,0.79,0.189,0.754,0.818,0.071,0.062,0.143,0.058
15.0,263.231,45.119,246.0,35.0,282.0,56.0,403,453.0,36.849,15.47,-0.325,92.912,0.587,0.89,0.065,0.903,0.744,0.758,0.763,0.246,0.747,0.794,0.216,0.094,0.136,0.081
16.0,384.895,85.224,371.0,73.0,398.0,101.0,554,557.0,29.781,24.77,0.979,91.255,0.836,0.995,0.119,0.875,0.743,0.766,0.767,0.253,0.743,0.808,0.26,0.061,0.11,0.098
17.0,379.442,105.364,375.0,101.0,384.0,110.0,77,77.0,11.614,8.427,0.774,30.142,1.065,1.0,0.273,0.714,0.724,0.746,0.749,0.271,0.72,0.783,0.361,0.072,0.132,0.141
