area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
3602,5.0,248.0,75.0,319.0,43.0,284.0,3678.0,1.0,70.17,66.13,-1.41,226.94,217.83,0.78,0.44,0.73,0.8
126,34.0,324.0,45.0,339.0,40.0,330.0,135.0,2.0,14.75,11.35,-1.33,42.63,43.09,0.52,0.34,0.69,0.77
158,45.0,331.0,59.0,344.0,52.0,337.0,167.0,3.0,15.42,13.11,-0.46,45.21,45.55,0.41,0.31,0.68,0.76
158,49.0,232.0,65.0,245.0,57.0,238.0,169.0,4.0,17.64,11.65,0.51,47.46,47.67,1.0,0.59,0.82,0.86
79,97.0,285.0,107.0,292.0,102.0,288.0,82.0,5.0,11.77,8.59,-0.12,31.07,32.14,1.0,0.47,0.71,0.77
240,98.0,303.0,116.0,318.0,108.0,311.0,252.0,6.0,19.62,15.94,0.05,57.21,56.92,1.0,0.5,0.71,0.78
334,103.0,264.0,121.0,284.0,113.0,274.0,343.0,7.0,22.92,18.9,0.94,67.21,66.4,1.0,0.56,0.76,0.82
119,105.0,332.0,118.0,341.0,112.0,336.0,120.0,8.0,14.67,10.54,0.21,38.73,39.4,0.49,0.36,0.69,0.78
81,113.0,346.0,125.0,353.0,120.0,350.0,84.0,9.0,13.85,7.71,-0.37,33.9,34.82,0.99,0.45,0.7,0.77
117,117.0,251.0,128.0,263.0,123.0,257.0,126.0,10.0,13.58,11.1,-1.48,39.14,40.18,1.0,0.57,0.77,0.83
371,128.0,352.0,146.0,374.0,137.0,363.0,382.0,11.0,24.77,19.23,-1.19,70.63,69.64,1.0,0.52,0.69,0.74
270,129.0,377.0,148.0,395.0,139.0,386.0,282.0,12.0,19.36,18.0,0.48,59.94,59.51,1.0,0.47,0.69,0.76
121,130.0,311.0,144.0,320.0,137.0,316.0,125.0,13.0,15.41,10.09,-0.34,40.14,40.74,1.0,0.48,0.76,0.82
1513,149.0,337.0,204.0,376.0,176.0,356.0,1604.0,14.0,57.52,34.34,-0.4,158.95,153.38,0.96,0.44,0.7,0.78
771,156.0,297.0,186.0,324.0,171.0,310.0,791.0,15.0,34.15,29.18,-0.31,103.46,100.76,0.99,0.46,0.72,0.8
391,203.0,358.0,221.0,384.0,211.0,372.0,403.0,16.0,28.13,17.93,1.2,74.53,73.34,0.99,0.42,0.69,0.77
2496,214.0,310.0,265.0,374.0,240.0,340.0,2563.0,17.0,65.21,50.05,-1.48,194.27,186.86,0.91,0.44,0.72,0.8
193,260.0,81.0,270.0,101.0,265.0,91.0,202.0,18.0,22.02,11.28,-1.44,53.56,53.46,0.91,0.47,0.73,0.8
220,262.0,210.0,277.0,229.0,269.0,220.0,236.0,19.0,21.65,13.19,1.15,58.28,57.94,1.0,0.57,0.76,0.82
178,263.0,372.0,273.0,391.0,268.0,381.0,185.0,20.0,20.68,10.96,1.41,50.38,50.45,0.1,0.19,0.67,0.76
265,273.0,112.0,292.0,128.0,283.0,119.0,274.0,21.0,20.65,16.4,-0.36,58.87,58.49,0.35,0.23,0.63,0.72
75,281.0,228.0,288.0,239.0,284.0,233.0,82.0,23.0,12.88,7.75,1.47,32.49,33.48,1.0,0.55,0.75,0.81
546,282.0,32.0,305.0,58.0,294.0,45.0,567.0,24.0,27.47,25.54,-1.43,86.28,84.48,0.51,0.38,0.72,0.81
96,289.0,14.0,299.0,24.0,294.0,19.0,101.0,26.0,11.43,10.72,0.31,34.14,35.05,0.94,0.42,0.74,0.82
220,292.0,371.0,308.0,388.0,300.0,379.0,231.0,27.0,19.44,14.6,0.95,54.87,54.7,0.31,0.28,0.67,0.77
268,299.0,98.0,315.0,117.0,307.0,108.0,283.0,28.0,20.91,16.65,1.23,61.46,60.95,0.87,0.41,0.73,0.8
247,302.0,126.0,315.0,150.0,308.0,137.0,263.0,29.0,25.71,12.53,-1.32,64.04,63.4,0.88,0.41,0.7,0.78
205,306.0,292.0,322.0,307.0,314.0,298.0,211.0,30.0,17.28,15.84,-0.18,52.63,52.58,0.33,0.21,0.62,0.72
359,307.0,161.0,330.0,181.0,318.0,172.0,376.0,31.0,23.74,19.76,0.37,71.36,70.33,0.71,0.35,0.66,0.75
70,307.0,350.0,316.0,357.0,311.0,353.0,72.0,32.0,11.05,8.21,-0.46,29.66,30.8,1.0,0.43,0.72,0.81
110,308.0,72.0,318.0,83.0,313.0,78.0,116.0,33.0,13.27,10.95,0.96,38.49,39.17,1.0,0.44,0.74,0.82
117,314.0,335.0,324.0,347.0,319.0,340.0,122.0,34.0,13.94,10.91,1.41,38.73,39.4,0.32,0.35,0.7,0.79
114,323.0,102.0,334.0,113.0,328.0,107.0,120.0,35.0,12.55,11.67,0.57,38.14,38.84,1.0,0.46,0.75,0.82
119,333.0,28.0,345.0,37.0,339.0,32.0,121.0,37.0,14.16,10.81,0.02,38.49,39.17,1.0,0.51,0.77,0.83
121,336.0,338.0,347.0,350.0,341.0,344.0,126.0,38.0,13.38,11.58,1.51,38.97,39.63,0.98,0.41,0.71,0.8
228,339.0,95.0,359.0,108.0,348.0,101.0,239.0,39.0,22.32,13.48,-0.22,58.38,58.03,1.0,0.5,0.75,0.82
115,343.0,354.0,353.0,366.0,348.0,360.0,122.0,40.0,12.9,11.4,1.56,38.14,38.84,0.95,0.43,0.7,0.78
205,346.0,77.0,363.0,91.0,354.0,84.0,216.0,41.0,19.3,13.59,0.31,52.63,52.58,1.0,0.48,0.76,0.82
238,357.0,55.0,373.0,73.0,365.0,64.0,253.0,42.0,18.32,16.62,1.38,56.87,56.6,1.0,0.48,0.74,0.81
