"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,200.634,355.992,194.0,349.0,207.0,362.0,131,133.0,16.303,10.399,-0.824,43.213,0.882,0.985,0.0,0.809,0.594,0.619,0.628,0.053,0.531,0.613,0.216,0.17,0.13,0.106
2.0,283.077,306.5,277.0,293.0,291.0,317.0,194,201.0,28.602,9.212,1.133,64.87,0.579,0.965,0.021,0.979,0.728,0.757,0.769,0.195,0.716,0.791,0.112,0.03,0.08,0.047
3.0,291.244,300.561,285.0,287.0,299.0,314.0,205,209.0,31.306,8.662,1.162,69.113,0.539,0.981,0.0,0.99,0.722,0.752,0.764,0.053,0.694,0.785,0.066,0.053,0.048,0.032
4.0,304.456,265.072,292.0,252.0,316.0,277.0,417,424.0,32.569,16.606,0.786,82.184,0.776,0.983,0.0,1.0,0.793,0.826,0.829,0.024,0.777,0.856,0.055,0.05,0.082,0.026
5.0,300.244,300.988,296.0,292.0,304.0,309.0,86,86.0,18.919,5.899,1.148,41.799,0.619,1.0,0.0,1.0,0.752,0.773,0.786,0.02,0.711,0.802,0.02,0.017,0.033,0.019
6.0,326.208,280.623,315.0,276.0,338.0,285.0,207,207.0,25.365,10.503,-0.044,58.142,0.769,1.0,0.0,1.0,0.737,0.768,0.776,0.018,0.711,0.805,0.019,0.017,0.039,0.013
7.0,330.817,314.782,323.0,308.0,339.0,321.0,142,142.0,19.073,9.629,0.695,46.87,0.812,1.0,0.0,1.0,0.772,0.795,0.808,0.035,0.744,0.834,0.067,0.063,0.084,0.049
8.0,330.874,328.242,324.0,325.0,337.0,334.0,95,97.0,14.079,9.02,-0.023,35.935,0.924,0.979,0.0,0.895,0.654,0.689,0.698,0.046,0.598,0.686,0.16,0.125,0.117,0.085
9.0,370.246,255.344,354.0,246.0,386.0,262.0,390,405.0,32.003,16.459,-0.14,83.113,0.709,0.963,0.0,1.0,0.74,0.772,0.78,0.014,0.716,0.81,0.027,0.024,0.04,0.013
10.0,376.127,304.873,371.0,301.0,381.0,309.0,79,79.0,12.114,8.382,-0.471,31.899,0.976,1.0,0.0,1.0,0.768,0.798,0.81,0.027,0.741,0.825,0.021,0.023,0.03,0.018
