area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
98,18.0,108.0,26.0,120.0,22.0,114.0,102.0,1.0,13.86,8.99,1.29,35.31,36.16,0.0,0.02,0.88,0.89
58,20.0,123.0,28.0,130.0,24.0,126.0,60.0,2.0,9.83,7.82,0.47,27.07,28.35,0.0,0.01,0.9,0.91
1054,22.0,43.0,56.0,80.0,39.0,61.0,1100.0,3.0,38.94,35.0,-1.08,124.08,120.32,0.0,0.01,0.93,0.94
96,23.0,32.0,34.0,45.0,29.0,39.0,104.0,4.0,17.31,7.24,-0.86,39.8,40.41,0.0,0.02,0.91,0.94
264,26.0,82.0,45.0,98.0,36.0,89.0,277.0,5.0,21.35,16.06,0.37,61.21,60.72,0.0,0.02,0.91,0.92
64,33.0,104.0,39.0,114.0,36.0,109.0,66.0,6.0,11.36,7.35,1.47,28.49,29.69,0.0,0.02,0.9,0.91
169,41.0,108.0,58.0,121.0,50.0,114.0,178.0,7.0,19.59,11.12,0.59,49.46,49.57,0.0,0.02,0.91,0.92
175,43.0,123.0,59.0,137.0,52.0,131.0,185.0,8.0,16.85,13.76,-0.36,49.46,49.57,0.0,0.02,0.85,0.86
118,57.0,65.0,69.0,77.0,63.0,71.0,122.0,9.0,14.48,10.45,-0.72,38.63,39.3,0.0,0.02,0.9,0.92
69,59.0,102.0,69.0,110.0,65.0,105.0,74.0,10.0,12.12,7.85,0.64,31.31,32.37,0.0,0.04,0.9,0.91
56,65.0,81.0,73.0,89.0,69.0,85.0,60.0,12.0,10.38,7.05,-0.92,26.73,28.02,0.0,0.03,0.91,0.92
191,65.0,122.0,80.0,137.0,73.0,129.0,198.0,13.0,16.28,15.32,0.95,50.04,50.12,0.0,0.02,0.91,0.92
70,70.0,59.0,78.0,68.0,74.0,63.0,73.0,14.0,10.77,8.31,-0.83,28.73,29.92,0.0,0.02,0.92,0.93
113,71.0,91.0,84.0,101.0,78.0,96.0,121.0,15.0,13.51,10.76,-0.19,38.38,39.07,0.0,0.02,0.92,0.93
1019,81.0,38.0,125.0,74.0,100.0,54.0,1101.0,16.0,52.37,26.33,-0.56,139.3,134.74,0.0,0.02,0.92,0.93
