"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,20.738,116.059,10.0,105.0,29.0,130.0,355,362.0,25.087,19.034,1.499,72.77,0.842,1.02,0.0,1.0,0.718,0.739,0.747,0.018,0.713,0.782,0.024,0.024,0.036,0.014
2.0,22.809,57.199,15.0,48.0,31.0,66.0,236,236.0,19.226,15.674,-0.936,55.113,0.976,1.0,0.0,1.0,0.704,0.724,0.737,0.019,0.695,0.761,0.036,0.033,0.026,0.016
3.0,22.426,163.033,19.0,159.0,27.0,167.0,61,61.0,10.242,7.647,-0.845,27.314,1.027,1.0,0.0,1.0,0.696,0.718,0.725,0.035,0.7,0.751,0.03,0.031,0.077,0.034
4.0,29.361,141.639,22.0,135.0,36.0,149.0,183,183.0,17.828,13.424,0.644,50.728,0.894,1.0,0.0,1.0,0.728,0.745,0.744,0.018,0.728,0.789,0.019,0.018,0.047,0.017
5.0,43.183,126.399,34.0,117.0,53.0,137.0,306,306.0,21.078,18.664,-1.002,63.355,0.958,1.0,0.0,1.0,0.734,0.752,0.754,0.014,0.734,0.801,0.02,0.02,0.033,0.013
6.0,40.492,30.661,35.0,24.0,46.0,37.0,118,118.0,14.69,10.327,-0.892,38.627,0.994,1.0,0.0,0.949,0.672,0.695,0.712,0.025,0.647,0.715,0.081,0.074,0.041,0.039
7.0,42.697,85.902,36.0,81.0,50.0,91.0,122,122.0,14.584,10.736,-0.104,39.799,0.968,1.0,0.0,1.0,0.713,0.737,0.75,0.013,0.71,0.774,0.012,0.014,0.026,0.009
8.0,47.275,41.98,43.0,39.0,53.0,46.0,51,52.0,10.95,6.41,-0.699,26.728,0.897,1.02,0.0,1.0,0.706,0.726,0.741,0.029,0.69,0.749,0.042,0.035,0.039,0.036
9.0,53.135,70.215,45.0,64.0,61.0,76.0,163,163.0,17.246,12.072,-0.416,46.627,0.942,1.0,0.0,1.0,0.71,0.73,0.744,0.016,0.702,0.773,0.025,0.024,0.029,0.014
10.0,50.506,194.013,46.0,189.0,55.0,200.0,79,79.0,12.937,7.852,1.105,32.971,0.913,1.0,0.0,0.924,0.668,0.684,0.694,0.046,0.644,0.709,0.114,0.095,0.054,0.071
11.0,56.556,50.556,52.0,47.0,61.0,55.0,63,63.0,10.619,7.792,-0.353,28.314,0.988,1.0,0.0,1.0,0.721,0.744,0.744,0.024,0.712,0.778,0.029,0.024,0.042,0.024
12.0,63.462,179.753,55.0,173.0,70.0,188.0,186,186.0,16.367,15.009,0.753,50.627,0.912,1.0,0.0,1.0,0.707,0.723,0.723,0.03,0.703,0.762,0.053,0.051,0.077,0.039
13.0,63.102,148.235,57.0,144.0,69.0,152.0,98,98.0,13.768,9.066,-0.147,35.314,0.988,1.0,0.0,1.0,0.705,0.725,0.724,0.025,0.69,0.757,0.041,0.037,0.036,0.023
14.0,83.967,125.162,60.0,104.0,110.0,149.0,1690,1698.0,50.682,43.38,0.4,157.782,0.853,1.005,0.0,1.0,0.74,0.761,0.768,0.009,0.735,0.811,0.02,0.02,0.021,0.009
15.0,73.588,384.28,65.0,375.0,83.0,394.0,296,296.0,21.253,18.017,0.923,62.284,0.959,1.0,0.0,1.0,0.746,0.765,0.78,0.017,0.741,0.815,0.021,0.019,0.015,0.011
16.0,75.411,64.531,66.0,58.0,84.0,71.0,207,207.0,18.637,14.236,-0.213,52.042,0.96,1.0,0.0,1.0,0.716,0.736,0.744,0.022,0.708,0.777,0.028,0.026,0.03,0.018
17.0,70.375,85.219,67.0,81.0,74.0,90.0,64,64.0,10.534,7.78,1.033,27.899,1.033,1.0,0.0,1.0,0.734,0.756,0.759,0.016,0.737,0.794,0.023,0.021,0.029,0.018
18.0,75.034,267.034,69.0,262.0,80.0,271.0,88,88.0,11.634,9.866,-0.52,32.971,1.017,1.0,0.0,1.0,0.671,0.684,0.689,0.038,0.671,0.712,0.043,0.037,0.039,0.034
19.0,75.718,178.648,73.0,173.0,79.0,184.0,71,71.0,12.445,7.374,1.428,30.485,0.96,1.0,0.0,1.0,0.726,0.743,0.752,0.03,0.731,0.791,0.019,0.02,0.058,0.026
20.0,87.814,165.935,78.0,158.0,96.0,174.0,231,231.0,19.785,15.277,0.409,57.456,0.879,1.0,0.0,1.0,0.725,0.746,0.748,0.018,0.731,0.786,0.015,0.017,0.044,0.013
21.0,88.892,235.844,82.0,229.0,97.0,243.0,167,167.0,15.82,13.667,0.624,46.284,0.98,1.0,0.0,1.0,0.683,0.699,0.699,0.026,0.689,0.731,0.035,0.035,0.044,0.024
22.0,86.803,181.132,83.0,176.0,91.0,186.0,76,76.0,10.63,9.107,1.55,30.142,1.051,1.0,0.0,1.0,0.705,0.728,0.732,0.029,0.698,0.758,0.048,0.044,0.038,0.029
23.0,94.183,198.27,86.0,195.0,102.0,202.0,115,115.0,17.701,8.322,0.041,40.728,0.871,1.0,0.0,1.0,0.72,0.735,0.736,0.028,0.726,0.774,0.026,0.026,0.052,0.019
24.0,90.675,210.156,86.0,206.0,95.0,215.0,77,77.0,10.666,9.292,0.805,30.728,1.025,1.0,0.0,1.0,0.684,0.705,0.715,0.048,0.673,0.729,0.071,0.066,0.053,0.045
25.0,147.31,90.467,92.0,48.0,197.0,139.0,6938,7103.0,106.78,84.17,0.434,323.463,0.833,1.024,0.0,0.999,0.717,0.738,0.744,0.008,0.718,0.78,0.02,0.021,0.02,0.005
26.0,107.092,282.364,94.0,263.0,121.0,301.0,895,895.0,40.069,28.717,-1.411,113.012,0.881,1.0,0.0,1.0,0.696,0.712,0.722,0.047,0.703,0.748,0.024,0.026,0.022,0.009
27.0,111.679,385.128,98.0,373.0,125.0,397.0,499,503.0,27.856,23.085,0.332,83.841,0.892,1.008,0.0,1.0,0.745,0.765,0.777,0.049,0.753,0.817,0.015,0.014,0.016,0.007
28.0,110.31,232.158,101.0,221.0,119.0,243.0,355,357.0,23.51,19.287,-1.422,68.284,0.957,1.006,0.0,1.0,0.711,0.729,0.734,0.023,0.718,0.773,0.019,0.019,0.024,0.012
