area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
327,246.0,208.0,270.0,225.0,257.0,218.0,341.0,1.0,24.29,17.94,0.36,69.11,68.2,0.95,0.51,0.8,0.84
198,248.0,181.0,265.0,195.0,257.0,188.0,216.0,2.0,18.42,14.0,-0.18,53.8,53.69,0.0,0.06,0.84,0.89
208,262.0,44.0,279.0,60.0,270.0,52.0,217.0,3.0,17.46,15.29,0.54,51.94,51.92,0.0,0.11,0.82,0.88
339,263.0,200.0,291.0,221.0,275.0,211.0,364.0,4.0,31.52,14.16,0.63,80.43,78.93,0.0,0.1,0.83,0.88
1571,286.0,149.0,336.0,190.0,311.0,169.0,1635.0,5.0,51.68,39.19,0.48,153.88,148.57,0.0,0.1,0.79,0.85
191,323.0,1.0,336.0,17.0,329.0,10.0,202.0,6.0,17.67,13.95,1.26,50.97,51.0,0.0,0.07,0.81,0.86
118,332.0,187.0,345.0,199.0,338.0,193.0,126.0,7.0,14.66,10.45,-0.62,40.04,40.64,0.0,0.1,0.8,0.85
859,336.0,194.0,371.0,229.0,354.0,210.0,899.0,8.0,40.44,27.48,-0.72,114.23,110.97,0.0,0.12,0.8,0.85
114,354.0,15.0,366.0,26.0,360.0,21.0,123.0,9.0,12.96,11.25,0.35,38.38,39.07,0.0,0.09,0.81,0.86
902,358.0,109.0,384.0,154.0,371.0,131.0,953.0,10.0,46.59,25.23,-1.57,121.74,118.1,0.0,0.12,0.83,0.87
59,359.0,184.0,368.0,191.0,363.0,188.0,62.0,11.0,10.59,7.09,0.51,26.73,28.02,0.0,0.06,0.8,0.86
267,366.0,165.0,383.0,182.0,375.0,174.0,280.0,12.0,19.31,17.91,0.96,59.8,59.37,0.0,0.06,0.81,0.86
