"label","row_centroid","col_centroid","min_row","min_col","max_row","max_col","area","convex_area","major_axis_length","minor_axis_length","orientation","perimeter","circularity","solidity","cloud_fraction_ift","ice_fraction_ift","tc_band_1_reflectance","tc_band_4_reflectance","tc_band_3_reflectance","fc_band_7_reflectance","fc_band_2_reflectance","fc_band_1_reflectance","proc_grayscale_std","tc_band_1_std","boundary_gradient","interior_gradient"
1.0,96.822,119.9,90.0,112.0,105.0,127.0,180,180.0,18.396,12.752,0.79,48.87,0.947,1.0,0.0,0.983,0.628,0.649,0.645,0.061,0.614,0.657,0.058,0.049,0.143,0.045
2.0,104.055,101.964,96.0,94.0,111.0,110.0,220,222.0,17.7,15.99,1.292,54.213,0.941,1.009,0.0,0.973,0.612,0.634,0.633,0.051,0.6,0.647,0.075,0.06,0.097,0.044
3.0,138.917,317.9,134.0,315.0,143.0,321.0,60,60.0,10.123,7.62,0.149,27.071,1.029,1.0,0.0,0.933,0.621,0.63,0.631,0.183,0.589,0.627,0.1,0.082,0.122,0.084
5.0,156.475,110.559,153.0,107.0,160.0,115.0,59,59.0,9.607,7.947,-1.127,26.485,1.057,1.0,0.0,1.0,0.697,0.72,0.719,0.045,0.69,0.74,0.046,0.041,0.049,0.036
6.0,168.852,169.869,166.0,165.0,172.0,176.0,61,61.0,12.111,6.506,1.426,29.314,0.892,1.0,0.0,0.934,0.656,0.677,0.675,0.061,0.646,0.675,0.09,0.079,0.146,0.07
7.0,179.106,96.818,175.0,93.0,183.0,102.0,66,66.0,9.694,8.758,0.924,28.142,1.047,1.0,0.0,1.0,0.698,0.722,0.717,0.045,0.686,0.74,0.047,0.038,0.072,0.039
8.0,181.717,118.755,178.0,115.0,185.0,122.0,53,53.0,9.159,7.385,-0.687,24.485,1.111,1.0,0.0,1.0,0.731,0.754,0.739,0.03,0.736,0.792,0.027,0.019,0.095,0.021
11.0,191.741,22.759,187.0,18.0,196.0,28.0,54,58.0,14.505,5.053,0.807,30.971,0.707,1.074,0.0,0.926,0.665,0.682,0.688,0.068,0.639,0.687,0.141,0.11,0.164,0.105
12.0,193.085,103.936,187.0,100.0,199.0,108.0,94,94.0,13.16,9.109,0.215,34.142,1.013,1.0,0.0,1.0,0.708,0.731,0.727,0.036,0.698,0.761,0.022,0.022,0.083,0.02
13.0,213.313,108.727,207.0,104.0,219.0,114.0,99,100.0,13.196,9.677,-0.31,36.971,0.91,1.01,0.0,1.0,0.707,0.731,0.723,0.024,0.694,0.763,0.035,0.032,0.039,0.022
14.0,223.183,151.305,219.0,146.0,228.0,157.0,82,82.0,13.029,8.117,1.121,32.971,0.948,1.0,0.0,0.915,0.588,0.613,0.624,0.052,0.561,0.597,0.11,0.086,0.137,0.091
15.0,226.183,131.341,222.0,125.0,229.0,138.0,82,82.0,14.447,7.352,1.451,34.728,0.854,1.0,0.0,0.988,0.641,0.663,0.664,0.04,0.63,0.68,0.049,0.049,0.099,0.039
16.0,269.56,16.853,264.0,13.0,274.0,22.0,75,75.0,10.64,9.343,0.135,30.971,0.983,1.0,0.0,0.92,0.674,0.696,0.704,0.092,0.639,0.715,0.144,0.125,0.188,0.088
17.0,275.799,29.888,268.0,23.0,283.0,38.0,169,169.0,17.221,12.685,-0.723,48.284,0.911,1.0,0.0,1.0,0.683,0.705,0.71,0.029,0.677,0.735,0.052,0.047,0.102,0.035
18.0,295.453,170.12,286.0,159.0,305.0,181.0,342,342.0,26.101,16.905,1.133,70.284,0.87,1.0,0.0,0.974,0.62,0.64,0.637,0.038,0.607,0.652,0.081,0.069,0.1,0.056
19.0,297.418,18.039,292.0,10.0,303.0,26.0,153,153.0,17.989,10.903,-1.208,46.385,0.894,1.0,0.0,0.967,0.66,0.681,0.68,0.046,0.641,0.693,0.087,0.074,0.126,0.064
20.0,304.473,213.5,299.0,206.0,310.0,220.0,148,148.0,15.264,12.393,-1.441,42.385,1.035,1.0,0.0,0.831,0.621,0.64,0.645,0.065,0.586,0.636,0.179,0.14,0.135,0.105
21.0,307.9,42.633,302.0,36.0,314.0,50.0,150,150.0,16.406,11.762,-1.04,44.385,0.957,1.0,0.0,0.987,0.706,0.729,0.724,0.021,0.696,0.761,0.066,0.052,0.042,0.029
23.0,327.089,36.158,321.0,29.0,333.0,43.0,158,158.0,16.39,12.337,-1.023,44.971,0.982,1.0,0.0,0.987,0.71,0.73,0.723,0.035,0.702,0.762,0.083,0.064,0.099,0.037
24.0,343.388,130.424,339.0,125.0,348.0,135.0,85,85.0,11.111,9.808,1.199,31.556,1.073,1.0,0.0,0.976,0.587,0.605,0.61,0.042,0.557,0.618,0.048,0.049,0.107,0.046
25.0,360.667,69.444,358.0,64.0,363.0,75.0,63,63.0,12.586,6.371,1.551,28.485,0.976,1.0,0.0,0.952,0.652,0.679,0.69,0.065,0.632,0.662,0.142,0.1,0.11,0.114
26.0,368.24,286.28,362.0,279.0,376.0,295.0,175,175.0,18.206,12.641,-0.883,50.042,0.878,1.0,0.0,1.0,0.69,0.712,0.708,0.11,0.696,0.739,0.052,0.047,0.093,0.037
