area,min_row,min_col,max_row,max_col,row_centroid,col_centroid,convex_area,label,major_axis_length,minor_axis_length,orientation,perimeter,perimeter_crofton,cloud_fraction,band_7_reflectance,band_2_reflectance,band_1_reflectance
55,3.0,17.0,9.0,27.0,6.0,22.0,61.0,1.0,11.05,6.43,1.37,27.31,28.58,0.0,0.05,0.66,0.75
813,4.0,212.0,43.0,241.0,23.0,225.0,859.0,2.0,38.97,27.19,-0.29,111.4,108.29,0.0,0.03,0.66,0.75
52,7.0,28.0,13.0,38.0,10.0,33.0,55.0,3.0,10.91,6.09,1.21,26.14,27.47,0.02,0.05,0.66,0.74
166,12.0,131.0,28.0,142.0,20.0,137.0,177.0,6.0,17.47,12.44,-0.2,48.14,48.32,0.01,0.05,0.68,0.76
77,14.0,257.0,24.0,266.0,19.0,261.0,81.0,7.0,10.64,9.28,0.13,30.38,31.49,0.0,0.05,0.63,0.72
59,15.0,110.0,23.0,118.0,19.0,114.0,63.0,9.0,9.67,7.91,-0.79,26.73,28.02,0.0,0.09,0.65,0.73
80,18.0,279.0,26.0,289.0,22.0,284.0,85.0,10.0,11.07,9.34,1.56,31.31,32.37,0.0,0.04,0.68,0.75
192,26.0,251.0,41.0,265.0,34.0,258.0,197.0,11.0,15.93,15.41,-0.05,48.63,48.78,0.0,0.04,0.69,0.76
54,26.0,350.0,32.0,358.0,29.0,354.0,56.0,12.0,9.52,7.3,-1.48,25.07,26.45,0.0,0.04,0.65,0.73
207,32.0,193.0,48.0,207.0,40.0,200.0,215.0,14.0,19.65,13.51,0.67,52.97,52.9,0.0,0.04,0.69,0.77
93,33.0,97.0,47.0,106.0,39.0,101.0,101.0,15.0,16.76,7.15,-0.46,38.38,39.07,0.0,0.06,0.65,0.73
344,39.0,104.0,67.0,119.0,53.0,111.0,360.0,20.0,28.47,15.52,0.07,72.53,71.44,0.0,0.04,0.74,0.81
83,41.0,40.0,50.0,50.0,46.0,45.0,87.0,21.0,12.54,8.45,0.93,32.14,33.15,0.0,0.05,0.71,0.79
136,45.0,239.0,57.0,252.0,51.0,246.0,142.0,23.0,16.29,10.7,0.96,42.38,42.86,0.01,0.07,0.68,0.76
157,47.0,123.0,61.0,137.0,53.0,130.0,164.0,25.0,15.25,13.28,0.73,44.87,45.22,0.0,0.05,0.75,0.81
57,50.0,33.0,60.0,39.0,55.0,36.0,60.0,26.0,10.8,6.78,-0.18,26.73,28.02,0.0,0.08,0.7,0.77
64,50.0,190.0,60.0,199.0,55.0,194.0,69.0,27.0,12.43,6.87,0.69,30.38,31.49,0.0,0.06,0.71,0.77
