"max_depth","max_depth_ratio","max_expand","opening_strel_radius"
5,0.5,2,1
5,0.5,2,2
5,0.5,2,3
5,0.5,2,4
5,0.5,2,5
5,0.625,2,1
5,0.625,2,2
5,0.625,2,3
5,0.625,2,4
5,0.625,2,5
5,0.75,2,1
5,0.75,2,2
5,0.75,2,3
5,0.75,2,4
5,0.75,2,5
15,0.5,2,1
15,0.5,2,2
15,0.5,2,3
15,0.5,2,4
15,0.5,2,5
15,0.625,2,1
15,0.625,2,2
15,0.625,2,3
15,0.625,2,4
15,0.625,2,5
15,0.75,2,1
15,0.75,2,2
15,0.75,2,3
15,0.75,2,4
15,0.75,2,5
25,0.5,2,1
25,0.5,2,2
25,0.5,2,3
25,0.5,2,4
25,0.5,2,5
25,0.625,2,1
25,0.625,2,2
25,0.625,2,3
25,0.625,2,4
25,0.625,2,5
25,0.75,2,1
25,0.75,2,2
25,0.75,2,3
25,0.75,2,4
25,0.75,2,5
